LA (name),EstablishmentName,Postcode,Region,HE Provider,Biofuels (kWh),Biomass (kWh),Carbon allowance (tonnes CO2e),Carbon allowance bought or sold (tonnes CO2e),Coal (industrial) (kWh),Compressed natural gas (kWh),Cost (£),Electricity consumed from onsite CHP (kWh),Fuel oil (kWh),Gas oil (kWh),Grid electricity (kWh),Heat consumed from onsite CHP (kWh),Liquefied natural gas (kWh),Liquefied petroleum gas (kWh),Lubricants (kWh),Natural gas excluding that used as input for a CHP unit (kWh),Natural gas used as input for a CHP unit (kWh),Onsite photovoltaic (kWh),Onsite wind (kWh),Other onsite renewables (kWh),Other petroleum gas (kWh),Participation,Petroleum coke (kWh),Research income (£),Steam and hot water (kWh),Teaching income (£),Total energy consumption (kWh),Total energy generated onsite by CHP (kWh),Total expenditure (£),Total gross internal area (m2),Total income (£),Total percentage of renewable energy purchased through green tariffs (%),Total renewable energy generated onsite or offsite (kWh)
,Abertay University,,,Abertay University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,25273422605434,00,0.0,00,00,53716066007717,00,00,0.0,00,0.0,0.0,0.0,40400004154000.0,00,3271100031245000.0,78989488613151,0000,3971100038557000,3900447784,4092800038177000,0,00
,Aberystwyth University,,,Aberystwyth University,0.0,720005060.25,0.0,0.0,0.0,0.0,0.0,00,00,1643112.241350232.8,15609384.6217459610.95,00,0.0,174380.453339.22,00,1890814123453370,00,135816328301,0.0,00,0.0,0.0,0.0,3213000027518000.0,00,6576600063273000.0,37876981.9642374990.95,667900667900,129866000150725000,260123.43260123.43,132771000123523000,100.0%0.4%100.0%0.4%,302316333361.25302316333361.25
Essex,Anglia Ruskin University,CM1 1SQ,East of England,Anglia Ruskin University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3250451670124,00,00,12594009.6211018164.803,4154702079077,0.0,00,00,9570544.9039843614.563,1023058.525113592.04,58048.57742099.215,0.0,00,0.0,0.0,0.0,117180008764000.0,00,3.03106000294327e+17,22963118.124653079.581,74051537492017405153749201,328861000316847000,131093.24131283.74,335300000317866000,8.0%8.0%8.0%8.0%,116097.15484198.431116097.15484198.431
Birmingham,Aston University,B4 7ET,West Midlands,Aston University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,1284.6680,00,13204266.66911679604,00,0.0,00,00,35912204303950,00,10503941155.1,0.0,00,0.0,0.0,0.0,2933400026314000.0,11029137.67611471304,1.72702000159667e+17,27930948.01327496013.1,0000,208539000222151000,112595105735,220959000200789000,9.9%17.0%9.9%17.0%,10503941155.110503941155.1
,Bangor University,,,Bangor University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688235977.9,00,00,13926480.4514123542.762,1530386487,0.0,95112.854417.1,00,17939533.3919880836.18,25211139165,110337.6473574.06,0.0,00,0.0,0.0,0.0,4339300040739000.0,00,1.028450009432e+16,32600032.4834776598.802,22185122464.922185122464.9,172291000200296000,234102.195234102.195,178022000163249000,0.0%27.0%0.0%27.0%,110337.6473574.06110337.6473574.06
Bath and North East Somerset,Bath Spa University,BA2 9BN,South West,Bath Spa University,0.0,11069022387800.0,0.0,0.0,0.0,0.0,0.0,00,00,00,46737275111832,00,0.0,00,00,62479214939898,00,7000070000,0.0,00,0.0,0.0,0.0,37190003124000.0,00,1.2888600081191e+16,1209855012509530,0000,144600000103154000,72857.1586509.618,14576000098792000,48.1%60.2%48.1%60.2%,1179902240392511799022403925
Camden,Birkbeck College,WC1E 7HX,London,Birkbeck College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,6663997.26717981,415270202395,0.0,00,00,45482274105232,00,00,0.0,00,0.0,0.0,0.0,2177400020404000.0,00,7536000076801000.0,11627494.211025608,415270202395415270202395,108152000131731000,4780444979,110284000108248000,100.0%100.0%100.0%100.0%,0000
Birmingham,Birmingham City University,B5 5JU,West Midlands,Birmingham City University,0.0,602865122514.0,0.0,0.0,0.0,0.0,0.0,234246234246,00,0127002,1727012817934758,381745381745,0.0,00,00,1742533020569730,766741766741,7654680322,0.0,00,0.0,0.0,0.0,79240007342000.0,00,2.84423000261147e+17,3599086039450317,615991615991615991615991,297555000284427000,157747182741,316832000288486000,0.0%90.0%0.0%90.0%,76546803227654680322
Lincolnshire,Bishop Grosseteste University,LN1 3DY,East Midlands,Bishop Grosseteste University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,13180791402229.38,00,0.0,00,00,2561553.712750274,00,00,0.0,00,0.0,0.0,0.0,269000417000.0,00,1720900018091000.0,3879632.714152503.38,0000,2405100026919000,25929.37425929.374,2124800021833000,49.5%49.5%49.5%49.5%,1177810279.11177810279.1
"Bournemouth, Christchurch and Poole",Bournemouth University,BH12 5BB,South West,Bournemouth University,0.0,676000350400.0,0.0,0.0,0.0,0.0,0.0,00,00,00,81948578933214,00,0.0,00,00,68130917348918,00,603719.812561393,0.0,363188964499,0.0,0.0,0.0,128350008954000.0,00,1.55331000147211e+17,16650855.81218158424,0000,180419000176504000,9523395217,184601000169674000,100.0%100.0%100.0%100.0%,1776507.81219333921776507.8121933392
,Brunel University London,,,Brunel University London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,2239943221944248.8,00,0.0,00,00,2777435129350388,00,7100070000,15001480.0,00,0.0,0.0,0.0,3087800035112000.0,00,1.85992000178469e+17,5024628351366116.8,0000,278195000312002000,254892.364246858.404,282373000271349000,9.4%9.2%9.4%9.2%,4715000471650047150004716500
Buckinghamshire,Buckinghamshire New University,HP11 2JZ,South East,Buckinghamshire New University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,5300026800,00,62181555148249,00,0.0,00,00,67361137170574,00,126989126881,0.0,00,0.0,0.0,0.0,617000645000.0,00,1.76264000158097e+17,1313425712472504,0000,180806000161466000,70455.3970455.39,188847000169010000,14.2%14.2%,126989126881126989126881
Kent,Canterbury Christ Church University,CT1 1QU,South East,Canterbury Christ Church University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,8335496.8510238627.22,00,0.0,7906.7160,00,12159327.811439129.37,00,3923223174.01,0.0,00,0.0,0.0,0.0,53870004629000.0,00,2.38454000162718e+17,20541963.36621700930.6,0000,260420000191206000,126739.512137204,263808000185834000,40.6%0.5%40.6%0.5%,83747288374728
,Cardiff Metropolitan University,,,Cardiff Metropolitan University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,60279695192777,00,0.0,00,00,99153589585262,00,3732036119,0.0,00,0.0,0.0,0.0,70740005453000.0,00,1.23787000112278e+17,1598064714814158,0000,147638000137885000,9704197041,153234000137176000,37.6%54.0%37.6%54.0%,37120361193712036119
,Cardiff University,,,Cardiff University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,5132665051267886.237,00,0.0,00,00,71423014.8578046198.576,00,283826.006283826.006,0.0,00,0.0,0.0,0.0,1.94680000183998e+17,1289020,3.39760000363832e+17,123162392.856129597910.819,0000,611469000725313000,545578545578,636381000634167000,100.0%100.0%100.0%100.0%,283826.006283826.006283826.006283826.006
Camden,University of London,WC1E 7HU,London,"City, University of London",0.0,0.0,0.0,0.0,0.0,0.0,0.0,54185824576559.34,00,00,1277015413499749,28848992592385.732,0.0,00,00,1165495214717482,36805124647626,662480,0.0,00,0.0,0.0,0.0,2626500024417000.0,00,2.33347000220355e+17,3279483535386176.072,8303481716894583034817168945,272199000328182000,125676.51124175.57,276726000262148000,100.0%100.0%100.0%100.0%,6624866248
Coventry,Coventry University,CV1 5FB,West Midlands,Coventry University,0.0,490800268512.0,0.0,0.0,0.0,0.0,0.0,52911882209090,00,00,1718523120107490,68000043036820,0.0,270573292470.9,00,27988335.0635096210.96,160013014277586,4428257137,0.0,00,0.0,0.0,0.0,257850000.0,00,425139000.0,58070413.0661067730.86,120911925245910120911925245910,4972510000,294932.737292276.83,491296000,29.6%33.9%29.6%33.9%,535082325649535082325649
Central Bedfordshire,Cranfield University,MK43 0AL,East of England,Cranfield University,0.0,16369002389428.0,0.0,0.0,0.0,0.0,0.0,6904220.1556877929.896,00,463490641815.399,1334544612186252,39811554632027,1893.34,00,00,15641033.34618811870.459,19174296.65419023882.541,1385760.943955432.051,0.0,3000030000,0.0,0.0,0.0,5562400052736000.0,00,1.06243000100868e+17,43402304.44446555011.284,10885375.1511509956.89610885375.1511509956.896,223938000244147000,193061.914193059.4,220286000200313000,0.0%0.0%0.0%0.0%,3052660.9433374860.0513052660.9433374860.051
Leicester,De Montfort University,LE1 9BH,East Midlands,De Montfort University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,1257931314670608,00,0.0,00,00,1484821417951728,00,216990197812,0.0,77817752,0.0,0.0,0.0,112160008448000.0,00,2.35011000222894e+17,2765229832827900,0000,243533000251471000,180889.41181696.62,266325000243020000,0.0%32.1%0.0%32.1%,224771205564224771205564
Lancashire,Edge Hill University,L39 4QP,North West,Edge Hill University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637446,0,0,9132871,1263857,0.0,0,0,11686820,2196562,26329.68,0.0,0,0.0,0.0,0.0,5235000.0,0,114042000.0,22747323.68,19013031901303,138226000,133898.04,143879000,40.0%40.0%,26329.6826329.68
,Edinburgh Napier University,,,Edinburgh Napier University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,67442176227524,00,0.0,00,00,1046581510165963,00,2600027528,0.0,00,0.0,0.0,0.0,92800007399000.0,00,1.38572000124076e+17,1723603216421015,0000,161330000155018000,111456.398111456.398,168844000148309000,39.2%38.0%39.2%38.0%,26000275282600027528
Cornwall,Falmouth University,TR11 4RH,South West,Falmouth University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,5533539.95837055.1,00,0.0,00,00,71474318098840,00,11016655000,0.0,00,0.0,0.0,0.0,2286000955000.0,00,6372800055610000.0,12832019.414009007.6,0000,7363000068020000,80577.88765047.677,7390300063105000,0.0%0.0%0.0%0.0%,1653325500016533255000
,Glasgow Caledonian University,,,Glasgow Caledonian University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43090993914800,00,00,53879435192067,0,0.0,00,00,1287743713130808,123862709469419,00,0.0,00,0.0,0.0,0.0,1266200011646000.0,00,1.54524000129835e+17,2233166922237675,4309099391480043090993914800,178881000154249000,104888.96102691.39,179350000152233000,17.0%16.2%17.0%16.2%,0000
,Glasgow School of Art,,,Glasgow School of Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,28737492803877,00,6960531.0,00,00,61637000,00,00,0.0,00,0.0,0.0,0.0,36010003058000.0,00,3489900032787000.0,90374499764408,0000,4472700043723000,6550866818,4711000044335000,0,0000
,Goldsmiths College,,,Goldsmiths College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,45908164899078,00,0.0,00,00,83041428434913,00,108275.58114531.75,0.0,00,0.0,0.0,0.0,1231000010532000.0,7455558744.66,1.11812000109041e+17,13077788.5813507267.41,0000,133226000170081000,79780.6679781.31,141526000137440000,35.0%35.0%,4699091.5804699091.580
City of London,Guildhall School of Music and Drama,EC2Y 8DT,London,Guildhall School of Music and Drama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,3277825.993257334,00,0.0,00,00,2364150562,34581733769293,00,0.0,00,0.0,0.0,0.0,27190001233000.0,00,2275700021149000.0,3301466.993307896,0000,4214200037624000,33817.0433817.04,4007400036452000,54.8%46.0%54.8%46.0%,0000
,Heriot-Watt University,,,Heriot-Watt University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,103590104977,1951810519321399,00,0.0,123657.065180255.488,00,3467065835576249,00,1623718236,0.0,00,0.0,0.0,0.0,0.0,00,0.0,54432248.17755201116.488,0000,0,234427.87228513.26,0,37.5%36.8%37.5%36.8%,16237182361623718236
Kensington and Chelsea,"Imperial College of Science, Technology and Medicine",SW7 2AZ,London,"Imperial College of Science, Technology and Medicine",3731570.0,0.0,0.0,0.0,0.0,0.0,0.0,4029094064136653,00,00,68328768.95853002959,2468374638331086,0.0,00,00,9496309182566461,106066846163929267,2407716895,0.0,00,0.0,0.0,0.0,4.96230000471087e+17,00,5.22280000472277e+17,228663779.958238054054,6497468620067451364974686200674513,12400800001259502000,591541588084,12688520001163193000,100.0%100.0%100.0%100.0%,24077168952407716895
Staffordshire,University of Keele,ST5 5BG,West Midlands,Keele University,0.0,20684.0,0.0,0.0,0.0,0.0,0.0,00,00,00,73595279473283,0192801,0.0,00,00,2786659530502002,0379852,4069519.872500000,1350778.509100003,2262824049,0.0,0.0,0.0,271330000.0,00,118080000.0,40669048.37943712849,01928010192801,1835360000,175855.5171666.8,206323000,34.0%34.0%34.0%34.0%,6022553.75447652646022553.7544765264
Lambeth,King's College London,SE1 8WA,London,King's College London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,1744929.21100327.752,6988651466694271,00,0.0,00,00,5187372552585147,00,86135101.06,0.0,00,0.0,0.0,0.0,3.23350000296523e+17,1223337510307235,6.69035000674105e+17,135747156.2130692081.812,0000,11016990001396640000,443606.782430955.442,12299590001149251000,9.0%45.0%9.0%45.0%,8613.065101.068613.065101.06
Kingston upon Thames,Kingston University,KT1 1LQ,London,Kingston University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1864118626,00,00,1294438313850466,278500131520,0.0,00,00,1399063014051213,214051213586,3557736130,0.0,00,0.0,0.0,0.0,94580006602000.0,00,1.88145000188053e+17,2726773128087955,297141150146297141150146,231381000231342000,162510.241161384.52,229505000219310000,35.0%35.0%35.0%35.0%,35577361303557736130
Leeds,Leeds Arts University,LS2 9AQ,Yorkshire and the Humber,Leeds Arts University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1467119,0,0.0,0,0,1702705,0,23891,0.0,0,0.0,0.0,0.0,461000.0,0,24692000.0,3193715,0,24121000,23391,25732000,46.0%46.0%,2676026760
Leeds,Leeds Beckett University,LS6 3QS,Yorkshire and the Humber,Leeds Beckett University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173594994969,00,00,1182063612411707,1826173.7741550899,0.0,00,00,1269094313941829,31130512773413,238594.96205578.545,0.0,00,0.0,0.0,0.0,87970007239000.0,00,1.95272000191027e+17,27749941.73429104982.545,2999767.77425458682999767.7742545868,244970000236316000,229749.8233174.17,238515000230904000,48.0%42.6%48.0%42.6%,238594.96205578.545238594.96205578.545
Leeds,Leeds Trinity University,LS18 5HD,Yorkshire and the Humber,Leeds Trinity University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439942403352,00,00,17923471871100,645106613095,0.0,00,00,44940445048341,13705361256549,217728400,0.0,00,0.0,0.0,0.0,373000158000.0,00,5775900050098000.0,73932117944288,1085048101644710850481016447,5979500047984000,42541.4743258.03,6423000054559000,30.6%0.0%30.6%0.0%,217728400217728400
Liverpool,Liverpool Hope University,L16 9JD,North West,Liverpool Hope University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,5280021.9855450206.22,00,0.0,00,00,73042008643506,00,127914.5373471.93,0.0,00,0.0,0.0,0.0,17560001179000.0,00,4888700050304000.0,12712136.51514167184.15,0000,5593400054707000,8326786312,5824300058119000,0.0%0.0%0.0%0.0%,127914.5373471.93127914.5373471.93
Liverpool,Liverpool John Moores University,L3 5UX,North West,Liverpool John Moores University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,1523173414628692,00,0.0,00,00,1406822717758821,00,112237221,0.0,00,0.0,0.0,0.0,2353800020946000.0,00,2.41512000230358e+17,2931118432394734,0000,255491000236811000,153812.1154170.4,277270000257896000,100.0%100.0%100.0%100.0%,112237221112237221
,Liverpool School of Tropical Medicine,,,Liverpool School of Tropical Medicine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,4845344.244869051.8,00,0.0,00,00,5169306.885167700.519,00,00,0.0,00,0.0,0.0,0.0,1.28426000117194e+17,00,954400010066000.0,10014651.1210036752.319,0000,146899000203314000,27514.1322456.82,154796000196652000,0,12325.511203.5112325.511203.51
City of London,London Metropolitan University,N7 8DB,London,London Metropolitan University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,64737376431917,00,0.0,00,00,81352318332660,00,1006610066,0.0,00,0.0,0.0,0.0,23590002346000.0,00,1.3606200011206e+17,1461903414774643,0000,147436000125511000,83223.7883223.78,152333000122546000,0.0%0.0%0.0%0.0%,10666100661066610066
Westminster,London School of Economics and Political Science,WC2A 2AE,London,London School of Economics and Political Science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,073229,00,2089236125,1821061218488936,0147160,0.0,00,00,1993034123260669,0254918,101514130429,0.0,00,0.0,0.0,0.0,5857100056949000.0,00,3.06145000274861e+17,3826335942136548,02203890220389,430093000463553000,213208.656214376.18,471305000441373000,99.5%99.1%99.5%99.1%,101514130429101514130429
Camden,London School of Hygiene & Tropical Medicine,WC1E 7HT,London,London School of Hygiene and Tropical Medicine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,5113453.14766667,00,0.0,00,00,29714334052349,00,00,0.0,00,0.0,0.0,0.0,2.0952700019619e+17,00,3661600038456000.0,8084886.18819016,0000,283218000291273000,25486.33525462.63,278185000261383000,82.3%82.3%82.3%82.3%,0
Southwark,London South Bank University,SE1 0AA,London,London South Bank University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,12440446.77311315331,00,0.0,00,00,9774817.9139749201,00,00,0.0,00,0.0,0.0,0.0,105460006891000.0,00,1.72532000171787e+17,22215264.68621064532,0000,218269000197548000,150935.59150935.59,201926000199114000,55.9%50.8%55.9%50.8%,0000
Leicestershire,Loughborough University,LE11 3TU,East Midlands,Loughborough University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6188239.18610699975,00,00,3176751025367518,6089544.6758736724,0.0,00,00,57037849.21458518659,15157157.78627547399,00,0.0,00,0.0,0.0,0.0,6991800056935000.0,00,2.17344000202663e+17,101083143.075103322876,12277783.8611943669912277783.86119436699,348652000388391000,328368.26321717.13,379054000337261000,0.0%0.0%0.0%0.0%,0000
Enfield,Middlesex University,N14 4YZ,London,Middlesex University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304217,0,0,8829821,462409,0.0,0,0,6447501,947716,73398,0.0,0,0.0,0.0,0.0,10478000.0,0,161554000.0,16117346,304217304217,211949000,92771,201554000,0.0%0.0%,7339873398
,Newcastle University,,,Newcastle University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319726179249,00,117231102579,46564199.1544809804.042,531740296209,0.0,148895217210,00,48584655.0256899638.669,1047391583458,18991758786,0.0,00,0.0,0.0,0.0,1.64618000146747e+17,13568640.3413899640.337,3.4696600032839e+17,110082796.51116524430.048,851466475458851466475458,573229000639627000,487550.31490051.77,608288000558606000,42.3%33.8%42.3%33.8%,1899175878618991758786
Norfolk,Norwich University of the Arts,NR2 4SN,East of England,Norwich University of the Arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,18573921699310,00,0.0,00,00,19311102006330,00,00,0.0,00,0.0,0.0,0.0,954000427000.0,00,2761100026423000.0,37885023705640,0,2590400023640000,3125624806,3114000028714000,0,0
Oxfordshire,Oxford Brookes University,OX3 0BP,South East,Oxford Brookes University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10480681218885,00,00,1209160912103722,18740462125046,0.0,00,00,1944142023160592,34467823919535,326579326579,0.0,08000,0.0,0.0,0.0,1447400014376000.0,00,1.59080000147558e+17,3482384139032029,2922114334393129221143343931,238124000232269000,215418213218,238030000216558000,35.0%0.0%35.0%0.0%,326579326579326579326579
,"Queen Margaret University, Edinburgh",,,"Queen Margaret University, Edinburgh",0.0,2161.0,0.0,0.0,0.0,0.0,0.0,00,00,00,3544155.983849304.89,00,0.0,00,00,5839290.926699189.51,00,00,0.0,00,0.0,0.0,0.0,37290004617000.0,00,3865900036863000.0,9383446.910550655.4,0000,5095500048723000,46416.5846416.58,5111700048317000,0.0%0.0%0.0%0.0%,0216102161
Tower Hamlets,Queen Mary University of London,E1 4NS,London,Queen Mary University of London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0672453,00,88308.60,3253155932013175.5,02214384,0.0,00,00,2772096825774488.1,03396279,6115728531,0.0,00,0.0,0.0,0.0,1.86005000161766e+17,00,4.14312000388993e+17,60401992.660787821,02886836.75502886836.755,603306000630957000,265448.3264929.59,679819000634528000,0,61157147356115714735
,Queen's University Belfast,,,Queen's University Belfast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887483313420705,00,00,2897559123427320,57954959147245,0.0,00,00,5245194752966726,2378051736885661,6134447275,0.0,00,0.0,0.0,0.0,1.34911000130813e+17,00,2.37359000230798e+17,9684241899621645,887483313420705887483313420705,441464000517107000,425595397670,460525000437681000,100.0%100.0%,6134461344
,Robert Gordon University,,,Robert Gordon University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,501146.8124984.6,00,9562629.99489518.2,00,0.0,00,00,14699681.8115865892.832,00,30136.9432131,0.0,8651700,0.0,0.0,0.0,65760005687000.0,00,1.0933600098894e+16,25658765.4525512526.632,0000,126624000114913000,106562106382,129364000114741000,37.4%45.0%37.4%45.0%,895306.9432131895306.9432131
