HE Provider,Biofuels (kWh),Biomass (kWh),Burning oil (kWH),Carbon allowance (tonnes CO2e),Carbon allowance bought or sold (tonnes CO2e),Coal (industrial) (kWh),Compressed natural gas (kWh),Cost (£),Electricity consumed from onsite CHP (kWh),Environmental reporting total,Fuel oil (kWh),Gas oil (kWh),Grid electricity (kWh),Heat consumed from onsite CHP (kWh),Liquefied natural gas (kWh),Liquefied petroleum gas (kWh),Lubricants (kWh),Natural gas excluding that used as input for a CHP unit (kWh),Natural gas used as input for a CHP unit (kWh),Non-residential (m2),Non-residential category A (m2),Non-residential category B (m2),Non-residential category C (m2),Non-residential category D (m2),Non-residential category E (m2),Non-residential category F (m2),Non-residential category G (m2),Non-residential energy consumption total (kWh),Non-residential income total (£),Onsite photovoltaic (kWh),Onsite wind (kWh),Other non-residential income (£),Other onsite renewables (kWh),Other petroleum gas (kWh),Participation,Petroleum coke (kWh),Research income (£),Residential (m2),Residential category A (m2),Residential category B (m2),Residential category C (m2),Residential category D (m2),Residential category E (m2),Residential category F (m2),Residential category G (m2),Residential energy consumption total (kWh),Steam and hot water (kWh),Teaching income (£),Total energy consumption (kWh),Total energy generated onsite by CHP (kWh),Total expenditure (£),Total gross internal area (m2),Total income (£),Total percentage of renewable energy purchased through green tariffs (%),Total renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),where the ROCs are sold (%)
Abertay University,00,00,00,0,0,00,00,0,00,NoNo,00,00,25273422605434,00,00,00,00,53716066007717,00,3900438986,0,0,0,0,0,0,0,78989487338718,4092800037263000,00,00,41770001864000,00,00,0,00,40400004154000,08798,0,0,0,0,0,0,0,01274433,00,3271100031245000,78989488613151,0000,3971100038557000,3900447784,4092800038177000,0,00,0.0%0.0%,0.0%0.0%
Aberystwyth University,00,720005060.25,111800.725076.73,0,0,00,00,0,00,YesYes,00,1643112.241350232.8,15609384.6217459610.95,00,00,174380.453339.22,00,1890814123453370,00,168947.23168947.23,00,1702517025,4126441264,1661216612,39443944,00,14691469,28864440.4531392683.71,1.21e+08112486000,135816328301,00,2310400021695000,00,00,0,00,3213000027518000,91176.291176.2,1148411484,2900829008,1556615566,20792079,00,00,00,9012541.5110982307.24,00,6576600063273000,37876981.9642374990.95,667900667900,129866000150725000,260123.43260123.43,132771000123523000,100.0%0.4%100.0%0.4%,302316333361.25302316333361.25,100.0%100.0%,0.0%0.0%
Anglia Ruskin University,00,00,00,0,0,00,00,0,3250451670124,YesYes,00,00,12594009.6211018164.803,4154702079077,00,00,00,9570544.9039843614.563,1023058.525113592.04,106374.6106565.1,00,4804.833780.85,31878.3646875.17,37602.1926965.6,18277.3411383.02,381.9411642.29,00,18176769.72819356999.076,327172000310569000,58048.57742099.215,00,123480007478000,00,00,0,00,117180008764000,24718.6424718.64,00,00,5427.2853434.245,4846.0376839.077,00,00,00,4786348.3725296080.505,00,303106000294327000,22963118.124653079.581,74051537492017405153749201,328861000316847000,131093.24131283.74,335300000317866000,8.0%8.0%8.0%8.0%,116097.15484198.431116097.15484198.431,0.0%0.0%,0.0%0.0%
Aston University,00,00,00,0,0,00,00,0,00,YesYes,1284.6680,00,13204266.66911679604,00,00,00,00,35912204303950,00,112595105735,02513.161,5588.518046.949,13405.37885174.889,72185.7870,2475.9760,6894.8540,6371.0190,27930948.01327496013.1,214051000195387000,10503941155.1,00,120150009406000,00,00,0,00,2933400026314000,00,00,00,00,00,00,00,00,00,11029137.67611471304,172702000159667000,27930948.01327496013.1,0000,208539000222151000,112595105735,220959000200789000,9.9%17.0%9.9%17.0%,10503941155.110503941155.1,0.0%0.0%,0.0%0.0%
Bangor University,00,00,506383.2521763.8,0,0,00,00,0,688235977.9,YesYes,00,00,13926480.4514123542.762,1530386487,00,95112.854417.1,00,17939533.3919880836.18,25211139165,162691.94162691.94,1879.771879.765,28467.7825949.527,24486.4442375.194,40527.4735219.271,8647.45516.5,00,2118.612118.608,25294125.6827496145.002,164749000151485000,110337.6473574.06,00,1851100016426000,00,00,0,00,4339300040739000,71410.25571410.255,13947517.7,32063.6236687.223,36617.425870.102,649.35649.347,00,00,00,7305906.87280453.8,00,10284500094320000,32600032.4834776598.802,22185122464.922185122464.9,172291000200296000,234102.195234102.195,178022000163249000,0.0%27.0%0.0%27.0%,110337.6473574.06110337.6473574.06,0,0
Bath Spa University,00,11069022387800,00,0,0,00,00,0,00,YesYes,00,00,46737275111832,00,00,00,00,62479214939898,00,52244.1552594.348,20964422,1241210273,1888819211,44833293,9871569,312312,7840,8666211.0276880241.5,13948000089985000,7000070000,00,68750005670000,00,00,0,00,37190003124000,2061333915.27,1107711077,417015416,1070924,20431119,00,00,00,3432338.9745629288.5,00,12888600081191000,1209855012509530,0000,144600000103154000,72857.1586509.618,14576000098792000,48.1%60.2%48.1%60.2%,1179902240392511799022403925,0.0%0.0%,0.0%0.0%
Birkbeck College,00,00,00,0,0,00,00,0,00,YesYes,00,00,6663997.26717981,415270202395,00,00,00,45482274105232,00,4780444979,00,125181781,56232982,46550,06968,160682057,564521713,11627494.211025608,109555000107959000,00,00,1242100010754000,00,00,0,00,2177400020404000,00,00,00,00,00,00,00,00,00,00,7536000076801000,11627494.211025608,415270202395415270202395,108152000131731000,4780444979,110284000108248000,100.0%100.0%100.0%100.0%,0000,0.0%0.0%,0.0%0.0%
Birmingham City University,00,602865122514,00,0,0,00,00,0,234246234246,YesYes,00,0127002,1727012817934758,381745381745,00,00,00,1742533020569730,766741766741,157747161344,00,612718345,8039736214,3741451999,370123949,00,00,3599086037320287,311319000283657000,7654680322,00,1897200015168000,00,00,0,00,79240007342000,021397,00,019113,00,00,00,00,00,02130030,00,284423000261147000,3599086039450317,615991615991615991615991,297555000284427000,157747182741,316832000288486000,0.0%90.0%0.0%90.0%,76546803227654680322,0.0%0.0%,0.0%0.0%
Bishop Grosseteste University,00,00,00,0,0,00,00,0,00,NoNo,00,00,13180791402229.38,00,00,00,00,2561553.712750274,00,16030.7116030.71,18601860,2211.42211.4,7313.97313.9,24202420,12301230,00,00,2203432.153062682.58,1973000020213000,00,00,22520001705000,00,00,0,00,269000417000,9898.6649898.664,00,3912.63912.6,00,4226.94226.9,00,00,00,1676200.551089820.8,00,1720900018091000,3879632.714152503.38,0000,2405100026919000,25929.37425929.374,2124800021833000,49.5%49.5%49.5%49.5%,1177810279.11177810279.1,0,0
Bournemouth University,00,676000350400,00,0,0,00,00,0,00,YesYes,00,00,81948578933214,00,00,00,00,68130917348918,00,8882288806,00,17147.7720933.67,34383.6360573.95,35284.064740.27,00,00,00,15295112.31216789691,177299000162641000,603719.812561393,00,91330006476000,363188964499,00,0,00,128350008954000,64116411,00,64116411,00,00,00,00,00,1355743.51368733,00,155331000147211000,16650855.81218158424,0000,180419000176504000,9523395217,184601000169674000,100.0%100.0%100.0%100.0%,1776507.81219333921776507.8121933392,0.0%0.0%,0.0%0.0%
Brunel University London,00,00,00,0,0,00,00,0,00,YesYes,00,00,2239943221944248.8,00,00,00,00,2777435129350388,00,139506.565132956.404,00,31427942,2048918670.86,2987839476,3575426078.5,31758725,2304114316,29142844.1428956533.887,239605000235076000,7100070000,15001480,2273500021495000,00,00,0,00,3087800035112000,115385.799113902,00,872737890.78,9764075550.81,7075330,0130,00,00,21103438.8622409582.913,00,185992000178469000,5024628351366116.8,0000,278195000312002000,254892.364246858.404,282373000271349000,9.4%9.2%9.4%9.2%,4715000471650047150004716500,0.0%0.0%,0.0%0.0%
Buckinghamshire New University,00,00,00,0,0,00,00,0,00,YesYes,5300026800,00,62181555148249,00,00,00,00,67361137170574,00,49764.8749764.87,00,00,1613516135,3191031910.83,00,00,14891489.56,86741378331567,182910000162560000,126989126881,00,60290003818000,00,00,0,00,617000645000,20690.5220690.52,00,00,18088.7518088.75,2352.662352.66,00,00,00,44601204140937,00,176264000158097000,1313425712472504,0000,180806000161466000,70455.3970455.39,188847000169010000,14.2%14.2%,126989126881126989126881,0.0%0.0%,0.0%0.0%
Canterbury Christ Church University,00,00,00,0,0,00,00,0,00,NoYes,00,00,8335496.8510238627.22,00,00,7906.7160,00,12159327.811439129.37,00,95894.212104838,00,3938.472907.56,36433.88348200.7,34469.6825520.79,6147.420,00,571.21571.21,16015483.35617115323.28,255553000178061000,3923223174.01,00,1171200010714000,00,00,0,00,53870004629000,30845.332366,00,18595.4617534.86,250.02250.02,8897.796890.98,2285.41600.41,00,00,4526480.014585607.32,00,238454000162718000,20541963.36621700930.6,0000,260420000191206000,126739.512137204,263808000185834000,40.6%0.5%40.6%0.5%,83747288374728,0.1%0.1%,0.0%0.0%
Cardiff Metropolitan University,00,00,00,0,0,00,00,0,00,YesYes,00,00,60279695192777,00,00,00,00,99153589585262,00,7897778977,15162.715162.7,28179.6428179.64,3434034340,00,00,00,00,1177405810517811,145767000130867000,3732036119,00,1490600013136000,00,00,0,00,70740005453000,1806418064,00,00,00,00,00,00,00,42065894296347,00,123787000112278000,1598064714814158,0000,147638000137885000,9704197041,153234000137176000,37.6%54.0%37.6%54.0%,37120361193712036119,0.0%0.0%,0.0%0.0%
Cardiff University,00,00,00,0,0,00,00,0,00,YesYes,00,00,5132665051267886.237,00,00,00,00,71423014.8578046198.576,00,428736428736,0,0,0,0,0,0,0,97298290.356102382349.547,606698000606379000,283826.006283826.006,00,7225800058549000,00,00,0,00,194680000183998000,116842116842,0,0,0,0,0,0,0,25864102.527215561.272,1289020,339760000363832000,123162392.856129597910.819,0000,611469000725313000,545578545578,636381000634167000,100.0%100.0%100.0%100.0%,283826.006283826.006283826.006283826.006,0.0%0.0%,0.0%0.0%
"City, University of London",00,00,00,0,0,00,00,0,54185824576559.34,YesYes,00,00,1277015413499749,28848992592385.732,00,00,00,1165495214717482,36805124647626,125676.51124175.57,00,79260,17336184,766345524,1372721391,6778216319,64540,3279483535386176.072,275066000261235000,662480,00,1545400016463000,00,00,0,00,2626500024417000,00,00,00,00,00,00,00,00,00,00,233347000220355000,3279483535386176.072,8303481716894583034817168945,272199000328182000,125676.51124175.57,276726000262148000,100.0%100.0%100.0%100.0%,6624866248,0.0%0.0%,0.0%
Coventry University,00,490800268512,00,0,0,00,00,0,52911882209090,YesYes,00,00,1718523120107490,68000043036820,00,270573292470.9,00,27988335.0635096210.96,160013014277586,215634.818212315.573,546546,1300413631,2476424064,57134115896,7946236965,03857,13020,46867703.0650559700.23,4771230000,4428257137,00,261990000,00,00,0,00,257850000,79297.91979961.257,94508334,6259162589,66166616,00,00,00,00,1120271010508030.61,00,425139000,58070413.0661067730.86,120911925245910120911925245910,4972510000,294932.737292276.83,491296000,29.6%33.9%29.6%33.9%,535082325649535082325649,0.0%0.0%,0.0%0.0%
Cranfield University,00,16369002389428,1429928363.139,0,0,00,00,0,6904220.1556877929.896,YesYes,00,463490641815.399,1334544612186252,39811554632027,01893.34,00,00,15641033.34618811870.459,19174296.65419023882.541,119078.714119076.2,54420,1470823011.69,2044536403.895,1758516583.26,708711338.3,1536410577.86,310216079.86,31688930.51134553820.878,201953000186056000,1385760.943955432.051,00,4008600032452000,3000030000,00,0,00,5562400052736000,73983.273983.2,00,10911152.14,2622416935.3,06761.42,00,00,00,11713373.92312001190.406,00,106243000100868000,43402304.44446555011.284,10885375.1511509956.89610885375.1511509956.896,223938000244147000,193061.914193059.4,220286000200313000,0.0%0.0%0.0%0.0%,3052660.9433374860.0513052660.9433374860.051,100.0%100.0%,0.0%0.0%
De Montfort University,00,00,00,0,0,00,00,0,00,YesYes,00,00,1257931314670608,00,00,00,00,1484821417951728,00,168279.23169086.44,2060.36747,44857.966702,111709.467737.5,7443.1332300.23,860.59861,00,00,2630168931471149,263010000240491000,216990197812,00,167830009149000,77817752,00,0,00,112160008448000,12610.1812610.18,00,00,5529.8910364,4833.530,00,00,00,13506091356751,00,235011000222894000,2765229832827900,0000,243533000251471000,180889.41181696.62,266325000243020000,0.0%32.1%0.0%32.1%,224771205564224771205564,0.8%0.6%,0.0%0.0%
Edge Hill University,0,0,0,0,0,0,0,0,637446,Yes,0,0,9132871,1263857,0,0,0,11686820,2196562,85287.88,0,4163,74630,2038,0,0,0,13648394,130981000,26329.68,0,11704000,0,0,0,0,5235000,48610.16,0,3512,42444,0,0,0,0,9098929,0,114042000,22747323.68,19013031901303,138226000,133898.04,143879000,40.0%40.0%,26329.6826329.68,0,0
Edinburgh Napier University,00,00,00,0,0,00,00,0,00,YesYes,00,00,67442176227524,00,00,00,00,1046581510165963,00,73636.39873636.398,00,145.2126530,66260.1439729.6,2352.832352.833,00,612612,01087.38,1335486612503828,157166000139825000,2600027528,00,93140008350000,00,00,0,00,92800007399000,3782037820,00,2540625406,00,63416341,00,00,00,38811663917187,00,138572000124076000,1723603216421015,0000,161330000155018000,111456.398111456.398,168844000148309000,39.2%38.0%39.2%38.0%,26000275282600027528,0.0%0.0%,0.0%0.0%
Falmouth University,00,00,40882.518112.5,0,0,00,00,0,00,YesYes,00,00,5533539.95837055.1,00,00,00,00,71474318098840,00,45647.94945557.953,00,01034,8572.4046835,25185.24627389,1220.41825,00,01958,8804630.2911532312.1,7315100062632000,11016655000,00,71370006067000,00,00,0,00,2286000955000,34929.93819489.724,00,00,00,1883918840,00,00,00,4027389.112476695.5,00,6372800055610000,12832019.414009007.6,0000,7363000068020000,80577.88765047.677,7390300063105000,0.0%0.0%0.0%0.0%,1653325500016533255000,0.0%,0.0%
Glasgow Caledonian University,00,00,00,0,0,00,00,0,43090993914800,YesYes,00,00,53879435192067,0,00,00,00,1287743713130808,123862709469419,91019.8488827.8,0,0,0,0,0,0,0,1983699619825113,174558000148160000,00,00,73720006679000,00,00,0,00,1266200011646000,13869.1213863.59,0,0,0,0,0,0,0,24946732412562,00,154524000129835000,2233166922237675,4309099391480043090993914800,178881000154249000,104888.96102691.39,179350000152233000,17.0%16.2%17.0%16.2%,0000,0.0%0.0%,0.0%0.0%
Glasgow School of Art,00,00,00,0,0,00,00,0,00,NoNo,00,00,28737492803877,00,06960531,00,00,61637000,00,5444755498,00,00,1513015130,66026602,1414714147,00,00,77105998605606,4488500042574000,00,00,63850006729000,00,00,0,00,36010003058000,1106111320,00,00,00,75988707,10760,00,23872613,13268501158802,00,3489900032787000,90374499764408,0000,4472700043723000,6550866818,4711000044335000,0,0000,0.0%0.0%,0.0%0.0%
Goldsmiths College,00,00,00,0,0,00,00,0,00,No,00,00,45908164899078,00,00,00,00,83041428434913,00,71922.6671922.66,00,292140,187000,91990,00,00,00,11770009.72212078007.41,132266000129001000,108275.58114531.75,00,81440009428000,00,00,0,00,1231000010532000,78587858.65,00,00,78580,00,00,00,00,1307778.8581429260,7455558744.66,111812000109041000,13077788.5813507267.41,0000,133226000170081000,79780.6679781.31,141526000137440000,35.0%35.0%,4699091.5804699091.580,0.0%,0.0%
Guildhall School of Music and Drama,00,00,00,0,0,00,00,0,00,YesYes,00,00,3277825.993257334,00,00,00,00,2364150562,34581733769293,27059.4827059.48,00,13731373,024116,241160,00,00,00,2879222.292829969,3845400034851000,00,00,1297800012469000,00,00,0,00,27190001233000,6757.566757.56,00,6757.566757.56,00,00,00,00,00,422244.7477927,00,2275700021149000,3301466.993307896,0000,4214200037624000,33817.0433817.04,4007400036452000,54.8%46.0%54.8%46.0%,0000,0.0%0.0%,0.0%0.0%
Heriot-Watt University,00,00,00,0,0,00,00,0,00,YesYes,00,103590104977,1951810519321399,00,00,123657.065180255.488,00,3467065835576249,00,166902.8160988.19,10533.025158.41,3023.663023.66,15651.8515651.85,63654.4463654.44,63289.7863289.78,7594.267594.26,2075.792075.79,42573296.01742756082.356,0,1623718236,00,0,00,00,0,00,0,67525.0767525.07,00,12411.6312411.63,19456.119456.1,25400.7225400.72,8118.78118.7,00,00,11858952.15912445033.596,00,0,54432248.17755201116.488,0000,0,234427.87228513.26,0,37.5%36.8%37.5%36.8%,16237182361623718236,100.0%100.0%,0.0%0.0%
"Imperial College of Science, Technology and Medicine",3731570,00,00,0,0,00,00,0,4029094064136653,YesYes,00,00,68328768.95853002959,2468374638331086,00,00,00,9496309182566461,106066846163929267,481293466247,00,84206891,1428613548,5452555888,7018768609,6372257438,226734224142,205797401.962214248648.6,12103660001115269000,2407716895,00,191856000171905000,00,00,0,00,496230000471087000,110248121837,00,2499422493,4904846936,1489217319,484484,00,00,2286637823805405.4,00,522280000472277000,228663779.958238054054,6497468620067451364974686200674513,12400800001259502000,591541588084,12688520001163193000,100.0%100.0%100.0%100.0%,24077168952407716895,0.0%0.0%,0.0%0.0%
Keele University,00,020684,00,0,0,00,00,0,00,YesYes,00,00,73595279473283,0192801,00,00,00,2786659530502002,0379852,113771.7110195.8,124139630.4,21537.525959,55070.937038.7,14744.625787,9243.48830,762.30,00,26312874.30128063649.058,1881340000,4069519.872500000,1350778.5091000030,429210000,2262824049,00,0,00,271330000,62083.861471,439.66000,17558.438508,43716.7613560.3,369770,0534,00,00,14356174.07815649199.942,00,118080000,40669048.37943712849,01928010192801,1835360000,175855.5171666.8,206323000,34.0%34.0%34.0%34.0%,6022553.75447652646022553.7544765264,0.0%0.0%,0.0%0.0%
King's College London,00,00,00,0,0,00,00,0,00,YesYes,00,1744929.21100327.752,6988651466694271,00,00,00,00,5187372552585147,00,404401.776391750.436,184090,607121090.2,8498434059,1727627159,196668646,3611245196,11947399909,129785509.23125392378.782,11608620001091794000,86135101.06,00,168477000121166000,00,00,0,00,323350000296523000,39205.00639205.006,00,07430,74240,3178131775,00,00,00,5961647.035299703.03,1223337510307235,669035000674105000,135747156.2130692081.812,0000,11016990001396640000,443606.782430955.442,12299590001149251000,9.0%45.0%9.0%45.0%,8613.065101.068613.065101.06,100.0%100.0%,0.0%0.0%
Kingston University,00,00,00,0,0,00,00,0,1864118626,Yes,00,00,1294438313850466,278500131520,00,00,00,1399063014051213,214051213586,120356.211119230.49,2931.151435,31109.83235895,51208.46128131.98,25325.09632598,6927.1286433,365.7956055,2488.7482222,2238479623376810.5,211362000211789000,3557736130,00,1375900017134000,00,00,0,00,94580006602000,42154.0342154.03,4910,32030,35375247,00,01067,0919,00,48829364711144.5,00,188145000188053000,2726773128087955,297141150146297141150146,231381000231342000,162510.241161384.52,229505000219310000,35.0%35.0%35.0%35.0%,35577361303557736130,100.0%100.0%,0.0%0.0%
Leeds Arts University,0,0,0,0,0,0,0,0,0,0,0,0,1467119,0,0,0,0,1702705,0,23391,0,0,0,0,0,0,0,3193715,25732000,23891,0,579000,0,0,0,0,461000,0,0,0,0,0,0,0,0,0,0,24692000,3193715,0,24121000,23391,25732000,46.0%46.0%,2676026760,0,0
Leeds Beckett University,00,00,00,0,0,00,00,0,1173594994969,YesYes,00,00,1182063612411707,1826173.7741550899,00,00,00,1269094313941829,31130512773413,157233.6160657.97,271.458271.458,42147.9738331.174,86899.33739684.546,4994.07141183.982,3387.217291.326,00,956.032956.032,24978737.73425741111.545,224029000215219000,238594.96205578.545,00,1996000016953000,00,00,0,00,87970007239000,72516.272516.2,00,7786.7837786.783,1835.0651835.065,00,00,00,00,27712043363871,00,195272000191027000,27749941.73429104982.545,2999767.77425458682999767.7742545868,244970000236316000,229749.8233174.17,238515000230904000,48.0%42.6%48.0%42.6%,238594.96205578.545238594.96205578.545,0,0
Leeds Trinity University,00,00,00,0,0,00,00,0,439942403352,NoNo,00,00,17923471871100,645106613095,00,00,00,44940445048341,13705361256549,25966.0123943.49,00,00,2596623943.49,00,00,00,00,4509858.714229538.931,6072700051288000,217728400,00,25950001032000,00,00,0,00,373000158000,16575.4619314.54,00,00,16512.919314.54,00,00,00,00,2883352.293714749.068,00,5775900050098000,73932117944288,1085048101644710850481016447,5979500047984000,42541.4743258.03,6423000054559000,30.6%0.0%30.6%0.0%,217728400217728400,0.0%0.0%,0.0%0.0%
Liverpool Hope University,00,00,00,0,0,00,00,0,00,YesYes,00,00,5280021.9855450206.22,00,00,00,00,73042008643506,00,5416556538,01736.26,19804.584884.14,8747.0116964.35,23632.3111955.87,00,00,00,9446235.29210703143.476,5207800053019000,127914.5373471.93,00,14350001536000,00,00,0,00,17560001179000,2910229774,0475.26,23370.2114531.75,1791.533764.1,2447.830,00,00,00,3265901.2233464040.674,00,4888700050304000,12712136.51514167184.15,0000,5593400054707000,8326786312,5824300058119000,0.0%0.0%0.0%0.0%,127914.5373471.93127914.5373471.93,0.0%0.0%,0.0%0.0%
Liverpool John Moores University,00,00,00,0,0,00,00,0,00,YesYes,00,00,1523173414628692,00,00,00,00,1406822717758821,00,153812.1154170.4,00,6169824263,2223544825,1745328506,3080434702,59965996,5386305,2931118432394734,274900000256855000,112237221,00,98500005551000,00,00,0,00,2353800020946000,00,00,00,00,00,00,00,00,00,00,241512000230358000,2931118432394734,0000,255491000236811000,153812.1154170.4,277270000257896000,100.0%100.0%100.0%100.0%,112237221112237221,0,0
Liverpool School of Tropical Medicine,00,00,00,0,0,00,00,0,00,0,00,00,4845344.244869051.8,00,00,00,00,5169306.885167700.519,00,27514.1322456.82,00,9876.59876.91,00,6977.126997.12,00,00,78010,10014651.1210036752.319,154796000196652000,00,00,1682600069392000,00,00,0,00,128426000117194000,00,00,00,00,00,00,00,00,00,00,954400010066000,10014651.1210036752.319,0000,146899000203314000,27514.1322456.82,154796000196652000,0,12325.511203.5112325.511203.51,0,0
London Metropolitan University,00,00,00,0,0,00,00,0,00,NoNo,00,00,64737376431917,00,00,00,00,81352318332660,00,83223.7883223.78,00,068779.74,732304450.31,7835.137835.13,2158.62158.6,00,00,1461903414774643,152333000122546000,1006610066,00,139120008140000,00,00,0,00,23590002346000,00,00,00,00,00,00,00,00,00,00,136062000112060000,1461903414774643,0000,147436000125511000,83223.7883223.78,152333000122546000,0.0%0.0%0.0%0.0%,10666100661066610066,0.0%0.0%,0.0%0.0%
London School of Economics and Political Science,00,00,00,0,0,00,00,0,073229,YesYes,00,2089236125,1821061218488936,0147160,00,00,00,1993034123260669,0254918,155640.306156807.83,00,21308.9228324.06,84307.8383862.58,24111.890,14920.22305.25,014614.97,00,2714456230893356,434468000411343000,101514130429,00,6975200079533000,00,00,0,00,5857100056949000,57568.3557568.35,00,7850.4211257.6,49198.8342697.26,03094.39,00,00,00,1111879711243192,00,306145000274861000,3826335942136548,02203890220389,430093000463553000,213208.656214376.18,471305000441373000,99.5%99.1%99.5%99.1%,101514130429101514130429,0.0%0.0%,0.0%0.0%
London School of Hygiene and Tropical Medicine,00,00,00,0,0,00,00,0,00,YesYes,00,00,5113453.14766667,00,00,00,00,29714334052349,00,25486.33525462.63,00,00,00,00,39753975,00,2060220602,8084886.18819016,277898000261281000,00,00,3175500026635000,00,00,0,00,209527000196190000,00,00,00,00,00,00,00,00,00,00,3661600038456000,8084886.18819016,0000,283218000291273000,25486.33525462.63,278185000261383000,82.3%82.3%82.3%82.3%,0,0,0
London South Bank University,00,00,00,0,0,00,00,0,00,NoNo,00,00,12440446.77311315331,00,00,00,00,9774817.9139749201,00,117696.02117696.02,1468.711468.71,27070.5727070.57,73225.11373225.113,15931.6115931.61,00,00,00,17230504.14116168118,192435000190379000,00,00,935700011701000,00,00,0,00,105460006891000,33239.5733239.57,00,00,23491.0323491.03,9748.549748.54,00,00,00,4984760.5454896414,00,172532000171787000,22215264.68621064532,0000,218269000197548000,150935.59150935.59,201926000199114000,55.9%50.8%55.9%50.8%,0000,0.0%0.0%,0.0%0.0%
Loughborough University,00,00,00,0,0,00,00,0,6188239.18610699975,YesYes,00,00,3176751025367518,6089544.6758736724,00,00,00,57037849.21458518659,15157157.78627547399,232529.81223910.35,0,0,0,0,0,0,0,80986210.18183079844,325808000286421000,00,00,3854600026823000,00,00,0,00,6991800056935000,95838.4597806.78,0,0,0,0,0,0,0,20096932.89420243032,00,217344000202663000,101083143.075103322876,12277783.8611943669912277783.86119436699,348652000388391000,328368.26321717.13,379054000337261000,0.0%0.0%0.0%0.0%,0000,0.0%0.0%,0.0%0.0%
Middlesex University,0,0,0,0,0,0,0,0,304217,Yes,0,0,8829821,462409,0,0,0,6447501,947716,90559,0,6994.16,28816.18,34389.18,6622.3,865.68,0,14798303.2,193198000,73398,0,21166000,0,0,0,0,10478000,2212,0,0,0,2212,0,0,0,1319043,0,161554000,16117346,304217304217,211949000,92771,201554000,0.0%0.0%,7339873398,0.0%,0.0%
Newcastle University,00,00,5779361314,0,0,00,00,0,319726179249,YesYes,00,117231102579,46564199.1544809804.042,531740296209,00,148895217210,00,48584655.0256899638.669,1047391583458,380526.5383027.96,868.62868.62,36870.850760.14,72117.1571973.89,62753.5294867.27,107267.2681873.99,3427.95965.39,55575.8939951.62,92081206.9498446767.599,586209000538873000,18991758786,00,7462500063736000,00,00,0,00,164618000146747000,107023.81107023.81,00,46438.2558784.07,47833.2935482.45,434.73337.14,2902.440,00,00,18001589.5618077662.449,13568640.3413899640.337,346966000328390000,110082796.51116524430.048,851466475458851466475458,573229000639627000,487550.31490051.77,608288000558606000,42.3%33.8%42.3%33.8%,1899175878618991758786,100.0%100.0%,0.0%0.0%
Norwich University of the Arts,00,00,00,0,0,00,00,0,00,0,00,00,18573921699310,00,00,00,00,19311102006330,00,2694120542,0,0,0,0,0,0,0,30183662978539,2990900027631000,00,00,1344000781000,00,00,0,00,954000427000,43154264,0,0,0,0,0,0,0,770136727101,00,2761100026423000,37885023705640,0,2590400023640000,3125624806,3114000028714000,0,0,0,0
Oxford Brookes University,00,00,4211989205,0,0,00,00,0,10480681218885,YesYes,00,00,1209160912103722,18740462125046,00,00,00,1944142023160592,34467823919535,117200115000,295295,3393741029,6302452026,462011452,04874,54110,2926537,2109243124924359,209825000193347000,326579326579,00,3627100031413000,08000,00,0,00,1447400014376000,9821898218,00,3424140556,2038022658,108130,00,00,00,1373141014107669,00,159080000147558000,3482384139032029,2922114334393129221143343931,238124000232269000,215418213218,238030000216558000,35.0%0.0%35.0%0.0%,326579326579326579326579,0.0%0.0%,0.0%0.0%
