HE Provider,Biofuels (kWh),Biomass (kWh),Burning oil (kWH),Carbon allowance (tonnes CO2e),Carbon allowance bought or sold (tonnes CO2e),Coal (industrial) (kWh),Compressed natural gas (kWh),Cost (£),Electricity consumed from onsite CHP (kWh),Environmental reporting total,Fuel oil (kWh),Gas oil (kWh),Grid electricity (kWh),Heat consumed from onsite CHP (kWh),Liquefied natural gas (kWh),Liquefied petroleum gas (kWh),Lubricants (kWh),Natural gas excluding that used as input for a CHP unit (kWh),Natural gas used as input for a CHP unit (kWh),Non-residential (m2),Non-residential category A (m2),Non-residential category B (m2),Non-residential category C (m2),Non-residential category D (m2),Non-residential category E (m2),Non-residential category F (m2),Non-residential category G (m2),Non-residential energy consumption total (kWh),Non-residential income total (£),Onsite photovoltaic (kWh),Onsite wind (kWh),Other non-residential income (£),Other onsite renewables (kWh),Other petroleum gas (kWh),Participation,Petroleum coke (kWh),Research income (£),Residential (m2),Residential category A (m2),Residential category B (m2),Residential category C (m2),Residential category D (m2),Residential category E (m2),Residential category F (m2),Residential category G (m2),Residential energy consumption total (kWh),Steam and hot water (kWh),Teaching income (£),Total energy consumption (kWh),Total energy generated onsite by CHP (kWh),Total expenditure (£),Total gross internal area (m2),Total income (£),Total percentage of renewable energy purchased through green tariffs (%),Total renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),where the ROCs are sold (%)
"Queen Margaret University, Edinburgh",00,02161,00,0,0,00,00,0,00,NoNo,00,00,3544155.983849304.89,00,00,00,00,5839290.926699189.51,00,24280.5424280.54,00,24280.5424280.54,00,00,00,00,00,5222561.0786188533.624,4513600043289000,00,00,27480001809000,00,00,0,00,37290004617000,22136.0422136.04,00,1723217232,49044904,00,00,00,00,4160885.8274362121.776,00,3865900036863000,9383446.910550655.4,0000,5095500048723000,46416.5846416.58,5111700048317000,0.0%0.0%0.0%0.0%,0216102161,0.0%0.0%,0.0%0.0%
Queen Mary University of London,00,00,084789.4,0,0,00,00,0,0672453,YesYes,00,88308.60,3253155932013175.5,02214384,00,00,00,2772096825774488.1,03396279,197951.66197432.95,1539,7288,30142,58715,23461,7630,43190,52268575.952489439,657282000613223000,6115728531,00,5696500062464000,00,00,0,00,186005000161766000,67496.6467496.64,0,11332,17295,16825,8177,0,0,8133416.78298382,00,414312000388993000,60401992.660787821,02886836.75502886836.755,603306000630957000,265448.3264929.59,679819000634528000,0,61157147356115714735,0.1%0.0%,0.0%0.0%
Queen's University Belfast,00,00,683208612374,0,0,00,00,0,887483313420705,YesYes,00,00,2897559123427320,57954959147245,00,00,00,5245194752966726,2378051736885661,328079310781,00,2033150652,8435271929,3462441049,212865097,8062882626,154629977,8076363484100595,438468000421550000,6134447275,00,6619800059939000,00,00,0,00,134911000130813000,9751686889,0,0,0,0,0,0,0,1607878415521050,00,237359000230798000,9684241899621645,887483313420705887483313420705,441464000517107000,425595397670,460525000437681000,100.0%100.0%,6134461344,0.0%,0.0%
Robert Gordon University,00,00,00,0,0,00,00,0,00,NoNo,501146.8124984.6,00,9562629.99489518.2,00,00,00,00,14699681.8115865892.832,00,8836288182,00,48610.938118.9,1520826834,199166665,5137321,21978192,837151,21614320.6221890464.551,124751000111625000,30136.9432131,00,88390007044000,8651700,00,0,00,65760005687000,1820018200,00,00,00,00,00,25802580,1562015620,4044444.833622062.081,00,10933600098894000,25658765.4525512526.632,0000,126624000114913000,106562106382,129364000114741000,37.4%45.0%37.4%45.0%,895306.9432131895306.9432131,100.0%100.0%,0.0%0.0%
Rose Bruford College of Theatre and Performance,00,00,00,0,0,14247560,01518085,0,00,NoNo,00,00,879934888212,00,00,00,00,00,00,90949094,706706,40154015,11261126,13301330,438438,427427,370370,15184471582346,130970000,00,00,11050000,00,00,0,00,2480000,46134613,46124612,00,00,00,00,00,00,786243823951,00,11744000,23046902406297,0000,146120000,1370713707,14758000,0.0%0.0%0.0%0.0%,1111,0.0%0.0%,0.0%0.0%
Royal College of Art,0,0,0,0,0,0,0,0,0,No,0,0,4761383.863,0,0,0,0,4886822.71,0,51081.57,1478.32,5211.6,9888.25,10664.9,0,7404.75,0,10769896.493,99677000,0,0,14713000,0,0,0,0,7778000,0,0,0,0,0,0,0,0,0,1121689.92,77186000,10769896.493,00,91004000,51081.57,100405000,0.1%0.1%,00,0.0%,0.0%
Royal College of Music,00,00,00,0,0,00,00,0,00,Yes,00,00,14486241510955,00,00,00,00,15628101456549,00,16670.216510.4,0,0,16510.4,159.8,0,0,0,30114342964629,3358000032661000,00,00,88850009283000,00,00,0,00,16430001224000,0159.8,0,0,0,0,0,0,0,02875,00,2305200022154000,30114342967504,0000,3241400032980000,16670.216670.2,3407400033095000,48.0%50.9%48.0%50.9%,0,0,0
Royal Holloway and Bedford New College,00,00,00,0,0,00,00,0,705916711820,YesYes,00,00,15546758.916629266,856415842054,00,00,00,2172399221131366,15062101599595,95538.4695538.46,28920,50688181,32852.3627988,2693120853,68818413,70850,011804,21383563.79521657335.143,188810000176823000,4612545721,00,1375400012038000,00,00,0,00,3139000032327000,92196.7692196.76,193530,394440,16622.8451946,012211,00,00,00,17495643.10517702891.857,00,143666000132458000,38879206.939360227,1608456.213114051608456.21311405,211812000232447000,187735.22187735.22,216104000201103000,0.0%0.0%0.0%0.0%,93676456559367645655,100.0%100.0%,0.0%0.0%
SOAS University of London,0,0,0,0,0,0,0,0,2061139,Yes,0,0,26343,1402009,0,0,0,1573190,0,39718.3,0,7043,27261,4045,0,0,0,5062681,101309000,0,0,8985000,0,0,0,0,13509000,0,0,0,0,0,0,0,0,0,0,78815000,5062681,00,89686000,39718.3,102812000,16.0%16.0%,00,0.0%,0.0%
SRUC,0,0,0,0,0,0,0,0,0,YesYes,0,0,0,0,0,0,0,0,0,120077117759,0,0,0,0,0,0,0,0,9014200087454000,0,0,2899500037057000,0,0,0,0,3054500019110000,86588658,0,0,0,0,0,0,0,0,0,3060200031287000,0,0,9791800089417000,128735126417,9169000088629000,0,0,0,0
Sheffield Hallam University,00,00,00,0,0,00,00,0,00,YesYes,00,00,1741576317125524,00,00,00,00,51465034942340,00,196529.9196529.899,1625316253,8488184881,8946889468,26402640,699699,00,00,3489403234072294,327032000313034000,5146852280,00,1902600012418000,00,00,0,00,2071300017424000,00,00,00,00,00,00,00,00,00,1228029811952150,287293000283192000,3489403234072294,0000,334929000330090000,196529.9196529.899,329672000314945000,0.1%34.0%0.1%34.0%,51468522805146852280,0.0%0.0%,0.0%0.0%
Solent University,00,00,00,0,0,00,00,0,00,No,00,00,7233562.77919345.4,00,00,00,00,1089890.711459527.39,00,7619287363,0,0,0,0,0,0,0,8777752.4110764629.79,9891500096885000,00,00,45390003863000,00,00,0,00,548000701000,2949729497,0,0,0,0,0,0,0,23148212369023,27691203754780,9382800092321000,11092573.4113133652.79,0,109434000108941000,105689116860,106245000103614000,0,0,0,0
"St George's, University of London",00,00,00,0,0,00,00,0,74268367723995.504,NoNo,00,00,29362782754759.286,42439061587568.914,00,00,00,1521597499714,2121953119454940.61,56533.9256667,00,1471.841471.84,00,00,00,00,53702.2753702.27,21326909.1620408578.865,8600800084360000,00,00,1652500015783000,00,00,0,00,1710400015397000,13925.213925.2,00,46934693,87998799,00,00,00,00,1854513.841774659.032,70528069617200.193,5237900053180000,2318142322183237.897,116707429311564.417116707429311564.417,8800600096401000,70459.1270592.2,8965600087834000,0.0%0.0%0.0%0.0%,0000,0.0%0.0%,0.0%0.0%
St Mary's University College,00,710000539900,00,0,0,00,00,0,232883754,0,4658563735,00,531534463217,210045000,00,010464,00,365874919678,8181299267,1481014810,00,1481014810,00,00,00,00,00,16584212125748,99870009738000,00,00,786000613000,00,00,0,00,610000,00,00,00,00,00,00,00,00,00,00,91400009125000,16584212125748,44281287544428128754,100030009509000,1481014810,101400009855000,0,0,0,0
"St Mary's University, Twickenham",00,00,00,0,0,72263240,07028977,0,00,YesYes,00,00,3338760.13585561,00,00,00,00,00,00,3184131570,00,1984.111984,14265.42114265,5820.3985820,7305.5867306,00,00,5815378.75749615,5031800047750000,00,00,26420002917000,00,00,0,00,19760001755000,1657916579,1258.991259,1731.2451731,7962.4087962,3833.7373834,1491.331491,00,00,4749705.44864923,00,4570000043078000,10565084.110614538,0000,5728800053927000,4842048149,5764700054358000,0,0,0.0%0.0%,0.0%0.0%
Staffordshire University,00,00,00,0,0,00,00,0,00,NoNo,9423.46330,00,1074375311061847,00,00,00,00,79726248900310,00,8713987139,08880,1208710309,2174947692,228812233,93713546,369880,00,15478945.1216522030,162793000145545000,125069104292,00,1127100010235000,00,00,0,00,33170002015000,2010020100,00,00,3378.716527,142233573,24980,00,00,3869736.284213407,497812662658,148205000133295000,19348681.420735437,0,152903000138568000,107239107239,168075000150461000,0.0%0.0%0.0%0.0%,104292104292,0.0%0.0%,0.0%0.0%
Swansea University,00,00,516905474644,0,0,00,00,0,042366,YesYes,00,00,3046478329819099,014800,00,00,00,3116315131604840,0144977,222517.33215324.76,10002.3416722.93,64292.3743931.14,54730.172728.51,53332.6355880.96,14128.0317346.3,15688.780,3308.563308.56,5534644354573489,386385000341813000,457834343930,00,4615500040374000,592812532647,00,0,00,8771300090292000,38700.1539887.49,00,3803.6911571.11,20584.9713940.17,9684.125898.6,778.554526.22,0102.57,3848.823848.82,78490428258837,00,252517000211147000,6319548562832326,057166057166,348691000447629000,261217.48255212.25,412637000370086000,0.0%67.0%0.0%67.0%,10506468765771050646876577,0.0%0.0%,0.0%0.0%
Teesside University,00,00,00,0,0,00,00,0,0555315,YesYes,00,00,1181033212588946,0374470,00,00,00,1256956113645695,01767718,133504.16132062.19,16918390,43638.133796.36,42684.4940919.72,16463.4314373.94,00,01691,27682768,2029941222472555,204595000174360000,9748388862,00,1966700013482000,00,00,0,00,94410006491000,35144.7435144.74,127340,818015808,00,7413.654339.65,00,00,00,41779644780733,00,175487000154387000,2447737627253288,09297850929785,197584000183469000,168648.9167206.93,210161000180253000,48.4%45.0%48.4%45.0%,97483888629748388862,0.0%0.0%,0.0%0.0%
The Arts University Bournemouth,00,00,00,0,0,00,00,0,00,YesYes,00,00,2553071.442699925.7,00,00,00,00,28982983450485.607,00,3048628034,00,3161828,17844.7219291,2726.162720,28521615,00,343343,3544488.744082575.9,4354200040477000,7967472711.8,00,24670001818000,00,00,0,00,564000443000,1855518555,00,182269502,00,00,00,00,00,1986554.72140547.2,00,4051100038216000,5531043.446223123.107,0000,5366400051046000,4904146589,5266000048820000,100.0%100.0%100.0%100.0%,7967472711.87967472711.8,0.0%0.0%,0.0%0.0%
The Institute of Cancer Research,00,00,00,0,0,00,00,0,451728368,YesYes,40002500,00,1289355513890797,445380592,00,00,00,1143480012608287,14728411183,4200042000,00,00,00,34633463,978978,26002600,2749427494,2528925626568618,138641000161155000,5979366074,00,4137700065434000,00,00,0,00,8419000085265000,00,00,00,00,00,00,00,00,00,00,1307400010456000,2528925626568618,0000,134937000163476000,4200042000,138641000161155000,100.0%100.0%100.0%100.0%,59793660745979366074,0.0%0.0%,0.0%0.0%
The Manchester Metropolitan University,00,00,00,0,0,00,00,0,3206451095000,YesYes,00,00,2183309620672630.96,3507801204500,00,00,00,2268635521602243.55,7473342881578.95,210063.62214792.88,00,4064.813891.99,107601.12110684.31,4154441533.55,3766235585.36,00,14841484.48,3654893135968466.12,399224000370960000,249152244083.6,00,2114300021390000,0137108.73,00,0,00,2907000021912000,58427.8355626.96,00,16729.3816729.56,3076130806.33,80348032,00,00,00,88910978987100.72,00,349011000327658000,4544002844955566.84,67142522995006714252299500,406190000382458000,268491.45270419.84,422046000393007000,46.8%45.8%46.8%45.8%,249152381192.33249152381192.33,0.0%0.0%,0.0%0.0%
The National Film and Television School,00,13324370,00,0,0,00,00,0,00,0,00,00,12420231300870,00,00,00,00,500271272287,00,12424.0812424.08,00,00,00,00,00,00,00,26244872573157,2224600019228000,00,00,47650004514000,00,00,0,00,13590001633000,00,00,00,00,00,00,00,00,00,00,1612200013081000,26244872573157,0000,2113800018501000,12424.0812424.08,2224600019228000,0.0%0.0%0.0%0.0%,0000,0.0%0.0%,0.0%0.0%
The Nottingham Trent University,00,5371891050971,186727289426,0,0,00,00,0,64082795939768,YesYes,00,00,2078232820659696,65248708429875,00,00,00,1780565312500289,1355981416429261,226838.7225565.39,470470,2954551532.76,121805111229.3,2906843880.27,50584115,9523492,92553408.1,5637065852384534,424416000395939000,307659320906,00,2676500017094000,00,00,0,00,1867500015177000,16150.1215807.28,28600,1083311697.05,716845.26,01866.88,00,00,00,22184482333926,60364015527529,378976000363668000,5858910654718460,12933149143696431293314914369643,410481000395611000,242988.82241372.67,433949000404137000,37.0%39.3%37.0%39.3%,84484813755048448481375504,1.0%1.0%,0.0%0.0%
The Open University,00,00,00,0,0,00,00,0,00,NoNo,00,00,1223484112788294,00,00,00,00,1385116615396455,00,129733130028,00,36153615,85598559,41404140,64386438,9697696976,14191419,2626801028367256,561487000553956000,5414354647,00,249650002461000,127860127860,00,0,00,2790400024109000,00,00,00,00,00,00,00,00,00,00,508618000527386000,2626801028367256,0000,535109000777504000,129733130028,561944000553956000,0.0%0.0%0.0%0.0%,182003182507182003182507,0.7%0.6%,0.0%0.0%
The Royal Central School of Speech and Drama,00,00,00,0,0,00,00,0,00,NoNo,2580021920,00,780264.24800735,00,00,00,00,10890591062107,00,1063410634,00,21812181,321321,81328132,00,00,00,1903515.241890825,239140000,83926063,00,15330000,00,00,0,00,42540000,00,00,00,00,00,00,00,00,00,00,18127000,1903515.241890825,0000,237790000,1063410634,24027000,0.0%0.0%0.0%0.0%,839212126839212126,0.0%0.0%,0.0%0.0%
The University of Aberdeen,00,00,00,0,0,00,00,0,57990008425299.999,YesYes,00,155864.25132235.75,13392997.33810573081.617,2156750022032700,00,17677.815331.8,00,21659012.01320964654.138,30842409.80934440391.743,201867.56201867.56,00,2817028170,00,2672626726,8354883548,49724972,1488214882,56448376.52358270169.005,258226000252103000,113955.8145626.6,00,2462500024424000,663787,00,0,00,7669700073216000,66117.0166117.01,00,00,00,00,00,00,00,13962334.30513100256.202,7704040.6279080708.302,156904000154463000,70410710.82871370425.206,27366500304580002736650030458000,259370000313654000,267984.57267984.57,268635000260909000,88.0%86.8%88.0%86.8%,114491.8146413.6114491.8146413.6,100.0%100.0%,0.0%0.0%
The University of Bath,00,00,00,0,0,00,00,0,12263941756020.31,YesYes,00,00,2375367725291423.43,20673491740786.162,00,00,00,3822035356565552.289,41346983647510.472,186847.25175043.64,11681168,5122610143,4481060271,1592447707,186507928,1190217445,1915617174,49579642.4666303436.87,319106000325341000,158393150704,00,2159000028955000,00,00,0,00,7061500062480000,124331.88110423.31,00,5298361567,3498431511,53751789,71395614,00,00,15846523.5419201049.32,00,226901000233906000,6542616685504486.191,32937433496806.47232937433496806.472,361923000389835000,311179.13285466.95,362945000361782000,100.0%100.0%100.0%100.0%,158393150704158393150704,0.0%0.0%,0.0%0.0%
The University of Birmingham,00,00,00,0,0,00,00,0,3966001536583621,NoNo,00,298964183,3170483535606283,2933405325131832,00,140140,00,80411842103851252,10182685492460903,444017.7430448.8,0,0,0,0,0,0,0,162570700182571000,877283000842790000,294385260229,00,122655000113881000,00,00,0,00,249809000257169000,125811.8119822.7,0,0,0,0,0,0,0,1935522819425694,517669499154,504819000471740000,181925928201996694,6899406861747452.976899406861747452.97,8905240001042613000,569829.5550271.5,928716000887940000,0.0%100.0%0.0%100.0%,294385260229294385260229,100.0%100.0%,0.0%0.0%
The University of Bradford,00,00,00,0,0,00,00,0,41857435265814,YesYes,00,00,59607545570723,47656056681598,00,00,00,15403404.7620105550.83,1144836414868547,116820.36109895.17,00,00,57981.8281695.8,20341.323471.17,00,3035,00,3035485837663685.83,176127000144288000,39351.840000,00,110020006843000,00,00,0,00,994300010674000,00,00,00,00,00,00,00,00,00,00,155182000126771000,30354858.5637663685.83,912476912027250912476912027250,171444000167456000,116820.36109895.17,177114000145134000,0.0%0.0%0.0%0.0%,39351.84000039351.840000,100.0%100.0%,0.0%0.0%
The University of Brighton,00,00,00,0,0,00,00,0,122956310451,YesYes,00,10742.50,13381092.613556936.3,211484530567,00,00,00,18201389.2622879313.42,4112241018810,161283.85158817.95,07493,3483126210,3423926268,5031469970,163553568,45464546,861861,25997804.6431875839.15,184027000174355000,622339.02497168,00,1831300013737000,00,00,0,00,1762100013607000,79924.679924.6,7270,00,2719217934,03603,00,00,00,6552198.745898596.57,00,148093000147011000,32550003.3837774435.72,146897841018146897841018,215061000214912000,241208.45238742.55,206163000193530000,42.0%36.0%42.0%36.0%,622339.02497168622339.02497168,100.0%100.0%,0.0%0.0%
The University of Bristol,00,00,00,0,0,00,00,0,3539452135810,YesYes,00,1021960306935,61754799.663567346,3431383179204,00,00,00,6474237665701870,11596736674406,407356.958399938.73,00,84418441,3786634910,17961796,00,00,1285112851,106152395.6112825704,869778000798296000,362768313831,00,11440400097077000,00,00,0,00,269758000245133000,132687.52131564.02,00,00,105.40,2044.60,867.90,1610,00,2242659122379292,00,485616000456086000,128578986.6135204996,69708353150146970835315014,837223000994276000,540044.478531502.75,934147000858485000,9.6%34.0%9.6%34.0%,11765796120282401176579612028240,0.0%8.8%,0.0%0.0%
The University of Cambridge,00,148800138623,00,0,0,00,00,0,00,YesYes,00,1192874979902,144071965144332542,00,00,00,00,104420613107224433,00,736892.54738889.79,00,3360755904,105565106738,5037429566,2504837797,154821360,6987179015,257272970260058915,25046100002209517000,616954609254,00,13373820001084210000,00,00,0,00,713320000696106000,00,00,00,00,00,00,00,00,00,68217646774161,453908000429201000,257272970260058915,0,23178520002301047000,736892.54738889.79,25182550002218748000,0.0%0.0%0.0%0.0%,25173754250999762517375425099976,100.0%100.0%,0.0%0.0%
The University of Central Lancashire,00,11515000,00,0,0,00,00,0,00,NoNo,00,00,1675800324092856,00,00,138159178798.32,00,2239835524878283,00,172970.47171857.17,14611461,55315531,6656566565,7394673946,73457345,00,00,2438321345196228.004,285361000272038000,187593134034.684,35623562,3108600026742000,15171517,00,0,00,1708300015043000,31798.3926574.73,00,31003100,81888188,1431914319,00,00,00,162554764092823,00,237192000230253000,4063868949289051.004,0000,297579000277163000,204768.86198431.9,292494000277957000,40.0%40.0%40.0%40.0%,187593139113.684187593139113.684,100.0%100.0%,0.0%0.0%
The University of Chichester,00,168448168448,00,0,0,00,00,0,00,YesNo,0231826,00,4196245.83821379,00,00,00,00,6801186.257064290,00,52469.91552469.915,3869.083869.08,22492.820507.8,141569839,3634.59936.5,3003836,02167,00,5716664.9965777897,5673000055511000,4326743267,00,63970005597000,00,00,0,00,19980001728000,31054.89129404.796,00,015045,130155273,62702362,33950,00,00,5492482.0555551313,00,4833500048186000,11209147.0511329210,0000,6591600064539000,83524.80681874.711,6595900063787000,100.0%100.0%100.0%100.0%,43267432674326743267,0.0%0.0%,0.0%0.0%
The University of Dundee,00,00,00,0,0,00,00,0,0,YesYes,00,00,34776877258325,0,00,00,00,6907461067813053,1726865316953263,201910201910,00,1718617186,4952449524,5226752267,1712617126,94789478,41484148,0,314924000282787000,1300013000,00,3168800027083000,00,00,0,00,10017000093548000,00,00,00,00,00,00,00,00,00,0,183066000162156000,0,0,320922000345433000,201910201910,325710000291992000,0,13000130001300013000,10.0%10.0%,0.0%0.0%
The University of East Anglia,00,00,00,0,0,00,00,0,2360000023752657,NoYes,00,40080,57209697671217,1623200039787774,00,00,00,274179877877422,6155721687925230,181030.09180424.95,67386738,2021320213,5502455024,1403614036,42254225,1509015090,2784927849,5366870260877288,314922000295189000,324927228537,00,4506100033365000,00,00,0,00,8023600072492000,104287.32104287.32,00,6333063330,2336323363,29692969,45004500,00,00,1963118918440319,00,189625000189332000,7329989179317607,46889725635424314688972563542431,339060000395582000,285317.41284712.27,345506000321428000,100.0%8.0%100.0%8.0%,324927240497324927240497,100.0%100.0%,0.0%0.0%
The University of East London,00,1544722187,00,0,0,00,00,0,00,NoNo,00,00,1136156511382834,00,00,00,00,1172150913016524,00,91393.6691393.66,00,9652.59652.55,68180.268180.2,11503.9111503.91,00,00,00,1896330720581413,234992000182059000,6893951224,00,1469900011477000,00,00,0,00,52280005315000,28405.8128405.81,00,5086.65086.6,18898.0418898.04,2648.842648.84,00,00,00,42041533891356,00,215065000165267000,2316746024472769,0000,239474000181787000,119799.47119799.47,247961000191974000,49.0%47.0%49.0%47.0%,84386734118438673411,0.0%0.0%,0.0%0.0%
The University of Edinburgh,00,00,00,0,0,00,00,0,2784038437455826,YesYes,00,271398871304,119499826107810074,7252197469637382,00,7970775791,00,4825736354068814,142475399174727825,719120712865,24902490,2498124981,7837178371,2903429034,5071250712,3249932499,2110221102,245004655251122351.05,12914280001223735000,1199330114388,00,227300000196843000,125674121299,00,0,00,444435000422570000,212867216217,00,14731473,1624816233,46504412,10181018,11301130,00,3619584731037593.95,1140484612005067,619693000604322000,281200502282159945,100362358107093208100362358107093208,12275190001389038000,931987929082,13847280001297443000,28.0%30.3%28.0%30.3%,13250042356871325004235687,100.0%100.0%,0.0%0.0%
The University of Essex,00,00,00,0,0,00,00,0,00,YesYes,00,00,2055501320112671,00,00,00,00,3077824334833445,00,181099179502,93619361,1646024805,1468721873,1438812131,5953184948,867119935,8546431,32294818.4434112537.983,299682000261020000,1051038554958,00,3792700028173000,00,00,0,00,4889800039633000,105507.71105507.71,00,00,00,00,00,00,00,20089475.5621388536.017,00,212857000193214000,5238429455501074,0000,312308000326120000,286606.71285009.71,334057000284356000,41.2%37.0%41.2%37.0%,10510385549581051038554958,100.0%100.0%,0.0%0.0%
The University of Exeter,00,00,00,0,0,00,00,0,823598.511823598.511,YesYes,00,1236997.5991906063.312,30449158.23430657323.822,932295.475932295.475,00,00,00,30360220.41639666043.367,2215838.6832215838.683,211111.27207793.74,4023.54715219.62,23173.43647849.79,79888.70747849.79,56176.96835586.36,17287.1188700.62,12438.87412765.44,18122.61924261.545,50989094.4250793240.99,583002000538157000,773590.38580450.588,00,4922300042001000,00,00,0,00,157404000134928000,93013.3976463.66,00,2294517568.68,135098294.02,5126320405.98,03652.99,00,14700,13586766.19523772534.085,00,376375000361228000,64575860.61574565775.075,2557285255728525572852557285,604052000685468000,304124.66284257.4,632916000586924000,49.1%41.1%49.1%41.1%,6863422.0273137735.5886863422.0273137735.588,0.0%0.0%,0.0%0.0%
The University of Glasgow,00,592800,00,0,0,00,00,0,13567253.659775396.487,YesYes,00,235440337451.4,49552710.9353607768,13408921.169969355.312,00,00,00,66558477.8267912756.966,34598522.5925624215.484,417677.75421355.11,37293.8329335.9,1032010320,1197311973,7163371633,2248422484,2690826908,26192619,129108819.6134831204.41,922896000900471000,68847.4921982.77,00,105262000144688000,00,00,0,00,287182000256318000,95560.8797154.01,00,230230,19771977,507507,744744,00,00,14342111.456793506.525,00,530452000499465000,143450931.05141624710.935,26976174.819744751.79826976174.819744751.798,8314390001002724000,513238.62518509.12,952196000929358000,0.0%0.0%0.0%0.0%,128127.4921982.77128127.4921982.77,0.0%0.0%,0.0%0.0%
The University of Greenwich,12723771857450,438580822430,00,0,0,00,00,0,873277931650,YesYes,00,00,1364274313633291,399100925800,00,00,00,1506412214630232,00,131622.43128923.8,00,2751329445,3633236048,18318.517234,6419.512291,211510,70141938,2829873029515353,285948000255153000,7479981982,00,124750006532000,00,00,0,00,2279100018065000,14141.9814141.98,00,00,011269,112690,00,00,00,34662683367482,00,250682000230556000,3176499832882835,1272377185745012723771857450,296026000258006000,145764.41143065.78,307017000272201000,0.0%0.0%0.0%0.0%,74799336607479933660,0.0%0.0%,0.0%0.0%
The University of Huddersfield,00,00,00,0,0,00,00,0,196578222738.9,YesYes,110787748,00,1197079412096914,405091473320.1,00,00,00,1257248312734308.311,630568740488.368,125546.52127631.13,00,16760.317043.3,55667.1230564.45,38632.4765001.35,3840.693840.69,00,9410.059435.78,2529974125624104.311,187835000182049000,14371789075,00,109200008853000,00,00,0,00,2708200021774000,00,00,00,00,00,00,00,00,00,00,149833000151422000,2529974125624104.311,601669696059601669696059,196378000192141000,125546.52127631.13,188918000182938000,0.0%0.0%0.0%0.0%,1437178907514371789075,100.0%100.0%,0.0%0.0%
The University of Hull,00,00,00,0,0,00,00,0,224886224886,YesYes,00,5246.7615497.3,1612680115868723,359818359818,00,00,00,2201674824626624,665663665663,159455156728,46423438,587510284,133655144,123893131676,54392672,00,00,3409743436814204.3,191612000182314000,205529224502,00,2336900018955000,00,00,0,00,2288900020478000,4131941316,2482624826,1578415784,00,00,00,00,00,48415954505846,00,145354000142881000,38939028.7641320050.3,584704584704584704584704,207805000229647000,200774198044,208506000198150000,100.0%100.0%100.0%100.0%,205529224502205529224502,100.0%100.0%,0.0%0.0%
The University of Kent,00,00,00,0,0,00,00,0,00,YesYes,4649.18119744.331,00,18358639.69718778113.333,00,00,00,00,35622755.72938248709.766,00,177493.73177905.08,483.6483.6,16748.9816748.98,105152.77581401.615,8001.7329957.14,7866.24323.33,10694.6816889.88,32014105,37111865.64139769559.542,222640000,169430178093,00,17129000,00,00,0,00,34272000,78062.4978106.17,00,10916.6411017.09,33322.1230163.345,3887.63887.6,00,00,00,17043608.96617455100.888,00,171239000,54155474.60757224660.43,0000,326652000,255556.22256011.25,260378000,0.0%0.0%0.0%0.0%,169430178093169430178093,0.9%0.9%,0.0%0.0%
The University of Lancaster,00,18357911721000,00,0,0,00,00,0,856617112603195,YesYes,00,00,2027761818302312,57717147698000,00,00,00,4184989637112879,2124411837068221,177142175932,0,0,0,0,0,0,0,42184190.3642818195.97,340834000320746000,88887158402,12027353193261,4465900035234000,00,00,0,00,7569700072165000,155591155296,0,0,0,0,0,0,0,37408621.6437970853.03,00,220478000213347000,7959281280789049,14337885203011951433788520301195,345936000398906000,332733331228,381775000357886000,0.0%0.0%0.0%0.0%,3127413507266331274135072663,0.0%0.0%,0.0%0.0%
The University of Leeds,00,00,00,0,0,00,00,0,39003967.44834726195.784,YesYes,00,167045.4296725.8,32710894.41240648506.576,15070296.97815352936.809,00,00,00,83077274.91891356671.202,118476809.0799613364.847,477474.339482422.908,1981.084380.21,76658.4979341.22,40763.641673.39,87325.8276910.59,95833.5131853.07,45034.42102593.23,81197.58103705.54,147997049.807160630880.779,923300000866795000,44641.6549737,00,12416700093751000,00,00,0,00,242375000226021000,137265.305137236.853,0,0,0,0,0,0,0,25351153.40425569353.422,3274082.4053769461.031,556758000547023000,173348203.211186200234.202,54074264.42650079132.59354074264.42650079132.593,9124530001048952000,614739.644619659.761,985279000929535000,41.0%41.0%41.0%41.0%,44641.654973744641.6549737,0.0%0.0%,0.0%0.0%
The University of Leicester,00,834912657600,00,0,0,00,00,0,553473295095,YesYes,2947522538,00,3297309534165143,860526306717,00,00,00,2357881724487219,1779416625537,239864.67240560.34,02972,2190957492,9743086170,4983113869,88585242,24136547,4130834220,6628598767384066,343293000320940000,128244100361,00,3638000031935000,00,00,0,00,9169800083432000,138395.1582984.59,00,1648613385,3616335507,1762719216,28152815,61476985,2560,1665827317139752,2401224723989146,215215000205573000,8294426184523819,14139996018121413999601812,357984000399792000,378259.82323544.93,368999000340226000,14.0%13.0%14.0%13.0%,963156757961963156757961,0.0%0.0%,0.0%0.0%
