HE Provider,Biofuels (kWh),Biomass (kWh),Burning oil (kWH),Carbon allowance (tonnes CO2e),Carbon allowance bought or sold (tonnes CO2e),Coal (industrial) (kWh),Compressed natural gas (kWh),Cost (£),Electricity consumed from onsite CHP (kWh),Environmental reporting total,Fuel oil (kWh),Gas oil (kWh),Grid electricity (kWh),Heat consumed from onsite CHP (kWh),Liquefied natural gas (kWh),Liquefied petroleum gas (kWh),Lubricants (kWh),Natural gas excluding that used as input for a CHP unit (kWh),Natural gas used as input for a CHP unit (kWh),Non-residential (m2),Non-residential category A (m2),Non-residential category B (m2),Non-residential category C (m2),Non-residential category D (m2),Non-residential category E (m2),Non-residential category F (m2),Non-residential category G (m2),Non-residential energy consumption total (kWh),Non-residential income total (£),Onsite photovoltaic (kWh),Onsite wind (kWh),Other non-residential income (£),Other onsite renewables (kWh),Other petroleum gas (kWh),Participation,Petroleum coke (kWh),Research income (£),Residential (m2),Residential category A (m2),Residential category B (m2),Residential category C (m2),Residential category D (m2),Residential category E (m2),Residential category F (m2),Residential category G (m2),Residential energy consumption total (kWh),Steam and hot water (kWh),Teaching income (£),Total energy consumption (kWh),Total energy generated onsite by CHP (kWh),Total expenditure (£),Total gross internal area (m2),Total income (£),Total percentage of renewable energy purchased through green tariffs (%),Total renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),where the ROCs are sold (%)
The University of Lincoln,00,00,00,0,0,00,00,0,00,YesYes,00,430116.2608131.67,1716318817641429.06,00,00,62637.1271501.15,00,1582312317066828.565,00,140902.929138591.68,4264.6524264.652,33331.49235792.801,52337.21842268.456,19275.80721011.91,9536.92411736.404,4040.0274040.027,00,19793065.3221746636.985,215765000191831000,231333246173,00,1143600015459000,00,00,0,00,2167200019051000,114946.097114915.229,14111.6174147.18,84964.61177815.19,11088.5310912.672,3543.972202.496,00,00,00,1391733213887426.27,00,182657000157321000,33710397.3235634063.445,0000,234388000203623000,255849.026253506.909,240374000215181000,0.0%49.9%0.0%49.9%,231333246173231333246173,100.0%100.0%,0.0%0.0%
The University of Liverpool,00,00,00,0,0,00,00,0,2644943250015833,YesYes,00,62002.843351.2,4059302622937017,5420931173612806,00,00,00,7621161958415852,69017055130118385,360631360119,177130,62822.5106007.2,148892.6125229.5,74586.780794,15119.34271,15122.80,17665.517212,181920030176234574.2,644445000586073000,70127012,00,8932300081106000,00,00,0,00,160641000146602000,137831137957,029892.2,58372.542154,115080,00,00,00,00,1561237328797297,00,394481000358365000,197532402.8205031871.2,9035204650015833.19035204650015833.1,664837000756073000,498462498076,675158000614928000,20.6%8.8%20.6%8.8%,701222944029701222944029,0.0%0.0%,0.0%0.0%
The University of Manchester,00,00,00,0,0,135741686.270,0147275565.989,0,14300558.415557367.99,YesYes,00,707295.6444701.8,90923556.926100289794.463,10146285.0932941798.953,00,00,00,00,51493546.90220259967.617,707963.62815742.26,5661.5811425.07,79326.25143494.39,211180.03166108.14,104189.7139959.07,63132.4894977.25,79943.64534.66,116134.8113915.72,214548519.125220828597.728,12869960001164540000,85066.8879377.41,00,171783000119312000,00,00,0,00,367408000351630000,181131.57182214.77,0,0,0,0,0,0,0,37355930.05535760008.878,00,747805000693598000,251904449.179256588606.605,24446843.5038499166.94324446843.5038499166.943,12378760001316976000,889095.19997957.03,13446650001217127000,0.0%0.0%0.0%0.0%,85066.8879377.4185066.8879377.41,0,0
The University of Northampton,00,33591273359127,00,0,0,00,00,0,242264242264,YesYes,00,00,81754618175461,340252.9340252.9,00,00,00,77853987785398,773302773302,4085874957,00,95689568,57130,38403840,00,00,43014301,96173499617349,0,2217422174,00,0,00,00,0,00,0,5810258276,00,3206332063,2340023400,00,818818,00,00,1030732810307328,00,0,19924676.919924676.9,582517582517582517582517,0,98960133233,0,41.0%41.0%41.0%41.0%,3381301338130133813013381301,0.0%0.0%,0.0%0.0%
The University of Oxford,00,00,00,0,0,00,00,0,362705.553506926,YesYes,00,660973.6572474.2,116630141.547114861913.27,568582794718,00,00,00,110247686106255508.99,11388501591792,676125.098666881,8637.89139,47721.1168427,108876.29105164,123653.8167468,49284.7285732,93197.850594,182904.73184264,228782142.7223307611.67,29197610002771882000,312054316071.21,00,13972260001387607000,00,00,0,00,953242000865707000,00,00,00,00,00,00,00,00,00,00,569293000518568000,228782142.7223307611.67,931287.5531301644931287.5531301644,25811790002897326000,676125.098666881,29246820002775240000,100.0%100.0%100.0%100.0%,312054316071.21312054316071.21,0.0%0.0%,0.0%0.0%
The University of Portsmouth,00,00,00,0,0,00,00,0,00,YesYes,00,00,1793346317002286.5,00,00,00,00,1355578314731479.028,00,155332.58155579.24,92660,20022.4233331.419,5117860712.15,4104525676,012939,01107.91,00,28010511.7228305883.894,305616000285806000,26021023.722,00,2190000012045000,38192.7238192.719,00,0,00,2461800019677000,23254.5625581.61,00,15729.5617592.372,75257525,00,00,00,00,37771373466098.075,00,259098000254084000,31787648.7231771981.969,0000,314822000281814000,178587.14181160.85,312438000290521000,100.0%100.0%100.0%100.0%,26021043561.16426021043561.164,0.0%0.0%,0.0%0.0%
The University of Reading,00,00,1610845.1081492660,0,0,00,00,0,2812538.0022478244,YesYes,00,00,15172820.18216523199,3723727.2772588508,00,00,00,19819539.4324218956,10298783.0888215145,204502.82207456.99,2485.332485,41605.2641438,59998.9856357,34286.1436231,21278.521299,7973.677984,10543.5510543,44074131.99948130229,327475000308196000,696832740532,00,5940600048332000,23783088130,00,0,00,5426300058140000,00,00,00,00,00,00,00,00,00,00,213806000201724000,44074131.99948130229,6536265.27961228446536265.2796122844,344997000406535000,204502.82207456.99,337802000316857000,100.0%100.0%100.0%100.0%,934662828662934662828662,0.0%0.0%,0.0%0.0%
The University of Salford,00,00,00,0,0,00,00,0,00,YesYes,00,00,1618047314384227,00,00,00,00,1248650813101204,00,154250154250,01964,17214.242016,99746.165014,4487.937905,233570,4070.66086,14990,2873075127495430,257561000237376000,637709999,00,1472600013353000,00,00,0,00,1305600011187000,00,00,00,00,00,00,00,00,00,00,229779000212836000,2873075127495430,0000,248488000264345000,154250154250,268381000247881000,0.0%0.0%0.0%0.0%,637709999637709999,0.0%0.0%,0.0%0.0%
The University of Sheffield,00,00,82374655352.97,0,0,00,00,0,1624676213030636,YesYes,00,00,4928694246449925.92,1550810016271462,00,00,00,3407400734707261.12,4891597050746034.11,477594.45470035.38,20180.4917048.18,63362.73131671.15,195503.91131905.68,54532.8650455.48,29640.4834722.48,28024.8729626.66,28085.7316329.34,109941545107025656,846464000784690000,13127881149.87,0965000,138814000105492000,1e+061098013,00,0,00,253808000251805000,47125.2346398.25,1456.451456.45,12522.3523098.66,22130.611554.29,1446.461449.46,1100.711100.71,00,00,2429591724706144.43,1790800018473000,453842000427393000,134237463131731800.88,31754862293020983175486229302098,794984000892989000,524719.68516433.63,886951000822397000,36.7%34.7%36.7%34.7%,1131278214416311312782144163,0.8%1.6%,0.0%0.0%
The University of Southampton,00,00,00,0,0,00,00,0,2279611023645720,Yes,635811.33972432,00,24769732.64722719980.889,1847596014742880,00,00,00,32145015.04635159526.787,60381465.69862130712.682,304133.617283951.495,42701.58,97784.44,56806.19,25508.68,5392.3,20372.59,0,74549826.86472338007.119,685664000634159000,14958.34116208.3,00,110009000110309000,00,00,0,00,177550000167403000,170543.942167888.83,0,27309.699,123731.86,15642.04,632.53,0,0,25794072.77325814912.009,1506312.2631796171.152,398105000356447000,100343899.63698152919.128,41272070383886004127207038388600,644226000737823000,474677.559451840.325,730044000672831000,20.7%20.7%,14958.34114958.341,0.0%,0.0%
The University of St. Andrews,00,1965002014358464,00,0,0,00,00,0,1549334561800,YesYes,00,086950,2823738427953204,1570988449584,00,00,00,2953664542179850,51201441401150,162601.51161461.77,35623562,1824718247,56135613,2276522765,1381013810,00,42904290,5268391557933780,282714000273965000,525721313097,00,4230400039071000,00,00,0,00,6707400071191000,124020.57123916.47,1241712417,00,1573515735,2371323713,311311,00,00,2838617727969169,00,173336000163703000,8107009285902949,3120322101138431203221011384,300532000338430000,286622.08285378.24,322445000313650000,100.0%100.0%100.0%100.0%,525721313917525721313917,0.0%0.0%,0.0%0.0%
The University of Stirling,00,891208891208,557624491522,0,0,00,00,0,97101928911057,YesYes,00,6610271401.6,64438576312242,102743019613802,00,00,00,2068881820153078.75,2399051224526251.25,10580699076.899,1835,0,4974,2034,1095,37158,15525,2091180426497361,150321000139202000,00,00,141440009368000,00,00,0,00,2700800027857000,7173769853.18,0,9280,0,0,0,0,0,2772029819946950.35,00,109169000101977000,4863210246444311.35,19984493182360571998449318236057,151186000168652000,177543168930.079,169700000155255000,100.0%100.0%100.0%100.0%,00,0.0%0.0%,0.0%0.0%
The University of Strathclyde,00,00,722028003,0,0,00,00,0,2494620022350600,YesYes,00,305736295514,1880002218811729,2119940020176900,00,00,00,3431965843770405,6369037058434500,334270320102,22483.722483.7,1639216392.9,26082608,3946939469,128118.4128118.4,5333153331,4729247292,9125717497384946,475979000379601000,97919121884,00,10859200037390000,00,00,0,00,143754000133894000,3818138181,0,0,13411341,558558,887887,358358,9696,8418981.388170088,00,223633000208317000,99676155105555035,46145600425275004614560042527500,402174000520441000,372451358283,487362000387802000,100.0%100.0%100.0%100.0%,9791912188497919121884,0,0
The University of Sunderland,00,00,00,0,0,00,00,0,00,YesYes,00,00,1134767510887505,00,00,00,00,1062699610500135,00,99841.1499811.82,0,0,0,0,0,0,0,1693605016627624,223505000196823000,31695095859,00,1877600010091000,00,00,0,00,31270002653000,38351.0938350.7,0,0,0,0,0,0,0,53555714855875,00,201602000184079000,2229162121483499,0000,230285000202079000,138192.23138162.52,227184000199855000,0,3169509585931695095859,0,0
The University of Surrey,00,0217280,00,0,0,00,00,0,00,YesYes,00,3948044660,3160148731588050,00,00,12715711106,00,4171036643157776,00,168905.95170759.82,00,00,21547.4821547.48,18918.5118918.51,4536.424536.42,2377.312377.31,00,4961391950631505,277740000271157000,45583024,00,3619300031172000,00,00,0,00,6421300059854000,155246.62154954.13,00,00,00,00,00,00,00,2386912924390391,00,177334000180131000,7348304875021896,0000,323315000376912000,324152.57325713.95,316331000305319000,0.0%75.0%0.0%75.0%,45882203044588220304,0.0%0.0%,0.0%0.0%
The University of Sussex,00,00,00,0,0,00,00,0,6176223.988727939,YesYes,00,00,17484844.715669885.6,9814340.0211494338,00,00,00,31786995.4430486582,1599065420222277,151742.91152363.35,89340,344777451,19230765,664912305,0791,7910,15850,58119462.78959358523.826,335924000303151000,670438.5756204.2,00,3124800023676000,00,00,0,00,6508400054892000,154505.92162617.669,00,00,00,00,00,00,00,7813379.7617776425.596,00,239592000224583000,65932842.6467134948.8,6176223.9887279396176223.988727939,343489000377310000,306248.83314981.019,380169000346246000,100.0%100.0%100.0%100.0%,670438.5756204.2670438.5756204.2,100.0%100.0%,0.0%0.0%
The University of Warwick,00,00,00,0,0,00,00,0,35106507.136550140.629,YesYes,00,00,32720544.8532343285.184,24979884.6833388288.249,00,38752.7535696.66,00,66570947.1165405886.761,99081006.51107579047.499,384605.6390556.43,8719.55912176.96,70491.7258990.98,30969.3964760.29,19083.873862.67,22967.221599.47,17269.54811.96,13159.4713678.22,126473013.56134687424.876,783430000726514000,438057.16411531.48,00,11110800088323000,00,00,0,00,188037000181148000,194697.04194073.45,19523.68940890.21,124962.0383087.14,26548.74918021.22,43622999.8,03001.05,00,00,33381680.0833447404.089,00,484285000457043000,159854693.65168134828.963,64889407.2874064469.72164889407.2874064469.721,731969000870111000,579302.64584629.88,839419000778958000,0.0%50.0%0.0%50.0%,941590710882.19941590710882.19,100.0%0.0%,0.0%0.0%
The University of West London,00,00,00,0,0,00,00,0,00,YesYes,00,00,7291699.577160050,00,00,00,00,1427640.172840422,00,54658.354681.27,00,35503169,1084339.9,1925341473.2,300.3578.7,00,00,11309257.7411905269,194794000166789000,111855113940,00,2117800016398000,24780631790857,00,0,00,17780001446000,00,00,00,00,00,00,00,00,00,00,171838000148945000,11309257.7411905269,0000,186593000156365000,54658.354681.27,204603000172873000,0.0%0.0%0.0%0.0%,2589818190479725898181904797,0.0%0.0%,0.0%0.0%
The University of Westminster,00,00,00,0,0,00,00,0,00,YesYes,00,00,1244788111905520,00,00,00,00,1916526821440341,00,127578.57135635.4,00,425513808,2019413696,9099727738,028426,00,00,2841845530257897,249826000234229000,00,00,1980000013968000,00,00,0,00,123000009207000,28335.528335.5,00,55599553,33190,1614515470,00,00,00,31946943087964,00,217726000211054000,3161314933345861,0000,238205000225576000,155914.07163970.9,260420000243013000,100.0%100.0%100.0%100.0%,29995602999560,24.0%0.0%,0.0%0.0%
The University of Winchester,00,00,00,0,0,00,00,0,2323847781,YesYes,00,00,53762384996148,4608977549,00,00,00,50770095651759,80116164536,4339043349,21491064,2352915788,902721033,3631451,383383,00,201201,61923136611890,7382700075053000,212607158825,00,37800002570000,00,00,0,00,19820001315000,3440934458,00,11461148,154154,00,00,00,00,45428684320172,00,6806500071168000,1073518110932062,6932712533069327125330,8905500086200000,7779977807,8560000086295000,53.0%86.0%53.0%86.0%,216.209158825216.209158825,0.0%0.0%,0.0%0.0%
The University of York,00,01710192,00,0,0,00,00,0,21092639.29520670902.594,NoNo,00,4240304474.4,1593143418288194.744,16491102.30114728366.528,00,00,00,46455928.25846785553.411,51563378.83349866872.245,248397.19247230.503,104213310,126207.96100758.69,69127.9365990.81,13851.8933340.95,00,00,00,70925533.1473251041.222,464367000425408000,1875919252.3,00,5185400041430000,00,00,0,00,130084000106041000,136750.939137226.01,00,8794.2211340,00,00,00,00,00,29068569.71429255894.755,00,282429000277937000,99994102.854102506935.977,37583741.59635399269.12237583741.59635399269.122,514634000556663000,385148.129384456.513,518675000472167000,0,187591898194.3187591898194.3,0.0%0.0%,0.0%0.0%
The University of the West of Scotland,00,00,00,0,0,00,00,0,00,YesYes,00,00,104003877183149,00,00,00,00,99462528613614.22,00,106620106877.19,00,49139.141368.82,4232.891277.83,30301.67707.39,17565.1419779.72,3697.531003.14,02317.14,1762104311587067.1,153131000,84258902,00,2418000,00,00,0,00,8406000,22247.1721263.52,00,13223.7716011.3,00,3293.430,00,00,5729.970,27340214218598.22,00,142307000,2035506415805665.22,0000,145161000,128867.17128140.71,155908000,0.0%0.0%0.0%0.0%,8245890282458902,100.0%100.0%,0.0%0.0%
Trinity Laban Conservatoire of Music and Dance,00,00,00,0,0,00,00,0,00,NoNo,00,00,1806160.611750558.89,00,00,00,00,23330962256199.3,00,18836.618836.6,0,0,0,0,0,0,0,4139256.614006758.19,2467500025802000,00,00,33330005020000,00,00,0,00,430000412000,00,00,00,00,00,00,00,00,00,00,2091200020370000,4139256.614006758.19,0000,2902400030432000,18836.618836.6,2678700027749000,0.0%0.0%0.0%0.0%,0000,0,0
Ulster University,00,00,98300114378,0,0,00,00,0,00,YesYes,00,62683.634558829,1636940714788192,00,00,00,00,2479147926671960,00,240258.18244469.53,87748774,8598985989,124882124882,90139013,57315731,17101710,00,42368282.6346103654,279026000257418000,6147790751,22444012304098,2255500018306000,00,00,0,00,5447600047543000,9286.6411293.56,29892989,21302130,14561456,00,00,00,00,21441662324554,00,201995000191569000,44512448.6348428208,0000,268969000300474000,249544.82255763.09,281451000259474000,12.7%12.7%12.7%12.7%,2917503314373529175033143735,0.1%0.1%,6.4%7.2%
University College Birmingham,0,0,0,0,0,33.84,0,0,0,No,0,0,7918911,0,0,0,0,7075857,0,57746,6822,20209,0,9897,3518,17300,0,12560641.94,67908000,0,0,2917000,0,0,0,0,0,22778.5,0,0,22778.5,0,0,0,0,2434159.9,0,64991000,14994801.84,00,70132000,80524.5,73160000,0,88472.688472.6,0,0
University College London,00,00,00,0,0,00,00,0,24429615009888,YesYes,514384.93751545.304,00,118958437.481114667169.49,1112412.6422975500,00,00,18601.05777720.534,110521753.599105810268.165,8154042.37517177106,573595.37555665.47,62176248.2,55317.738042.2,85651.87108960.97,62755.196155.6,69883.795743.7,152895.743941.6,72496.298672.3,221289910.754211970758.893,19103570001702144000,465921122250,00,234947000176810000,00,00,0,00,693422000684139000,120760.7121493.3,6811.16811.1,17396.221204.8,58945.262348.5,6669.710550.6,17478.17682.9,1127.80,00,21574026.722222565,8829465.7454778982.4,981988000841195000,242863937.454234193323.893,0798538807985388,17520460001988345000,694356.07677158.77,19683440001751779000,47.6%44.3%47.6%44.3%,465921122250465921122250,0.0%0.0%,0.0%0.0%
University for the Creative Arts,00,00,00,0,0,00,00,0,00,YesYes,00,00,69722926986119.78,00,00,00,00,76853479421949,00,59585.9754882.57,03179,1617901,2390317780.52,15511.7230865.17,12409.150,808808,00,1018272911155099.58,11564700092687000,4100040000,00,57540005032000,00,00,0,00,2169000591000,32174.5931576.249,27889140.249,28063822,7468.2493922,1122412475,22172217,12510,00,4515909.55292969.2,00,10772400087064000,1469863916448068.78,0000,12504400097439000,91760.5686458.819,12318900099973000,0.0%0.0%0.0%0.0%,1387000138600013870001386000,0,0
University of Bedfordshire,00,00,00,0,0,00,00,0,306117155113,YesYes,00,00,66251657028578,607444309001,00,00,00,56290709161968,601209313331,9545296833,10740,6436243904,258023038,1115511155,00,00,60487934,1330189016787243,151920000144836000,134094132583,00,1165000010312000,00,00,0,00,52430006015000,00,00,00,00,00,00,00,00,00,00,135027000128509000,1330189016787243,913561464114913561464114,144786000139543000,9545296833,153148000145831000,100.0%100.0%100.0%100.0%,134094132583134094132583,0.0%0.0%,0.0%0.0%
University of Chester,00,00,00,0,0,161215200,019994857,0,00,NoNo,00,00,15877631.1516572604,00,00,00,00,00,00,161842.64157659.97,2438316891,1746826118,2569626741,137844222,05715,00,00,41602678.6542115942,0,188869.1331354,00,0,00,00,0,00,0,43356.7243332.46,1583514991,03210,10158677,00,00,00,00,3204697.68287367,1261935613504494,0,44807376.2550403309,0000,0,205199.36200992.43,0,13.4%13.4%13.4%13.4%,188869.1331354188869.1331354,0.0%0.0%,0.0%0.0%
University of Cumbria,00,00,00,0,0,00,00,0,00,YesYes,00,00,3601402.33627037,00,00,00,00,9847005.27110206488.5,00,55208.8751834.89,00,18915.8813452.18,23554.8825154.74,5060.635814.53,663.093773.03,00,323.3323.3,10075309.61210041120.58,7110000067980000,00,00,55400005547000,00,00,0,00,14800001134000,1377413636,00,49944447,23222322,4773.55458.5,387387,00,00,3373097.9593792404.92,00,6408000061299000,13448407.57113833525.5,0000,7392800069997000,68982.8765470.89,7364800070324000,0.0%0.0%0.0%0.0%,0000,0.0%0.0%,0.0%0.0%
University of Derby,00,00,00,0,0,00,00,0,855519729560,YesYes,00,00,1386750611248133,13331841136898,00,00,00,1821187812227577,23847592033649,110760.21108119.04,01513,19780.9616221.97,77413.7260048.24,859.316661,9586.220,09657,00,2776052121256096,197633000185972000,11299668167,00,1841200018336000,00,00,0,00,48600003138000,46428.352756,0,0,0,0,0,0,0,66205624154239,00,174361000164498000,3438108325410335,855519729560855519729560,212698000217426000,157188.51160875.04,209652000197913000,0.0%39.3%0.0%39.3%,11299648770.8211299648770.82,0.0%0.0%,0.0%0.0%
University of Durham,00,00,00,0,0,00,00,0,8528021007191,YesYes,00,672231156.15,3861785839023425,12792031510786,00,00,00,6593620066571034,25063263357303,262294.51235171.88,6790,2225429978,8260262235,1963528368,1540519016,1512013294,2264929887,6130935461975585,428597000411977000,233004260995,00,3441500045593000,11543194325,00,0,00,8910400079006000,145711.06186474.762,00,1451725759,6160185625,5212630012,708210285,11580,00,4573186746523327,00,305078000287378000,107041220108498912.15,2132005251797721320052517977,489132000532686000,408005.57421646.642,484223000468543000,0.0%24.0%0.0%24.0%,348435355320348435355320,0.0%0.0%,0.0%0.0%
University of Gloucestershire,00,00,00,0,0,00,00,0,00,YesYes,00,00,44667944630721,00,00,00,00,48924386647501,00,55900.37457388.454,00,808113653,1768513770,673912304,105696075,632632,632662,67112838742753,8383800076681000,00,00,83200006232000,00,00,0,00,40580003552000,36066.5736066.57,00,60736025,59554691,00,00,00,00,26479492535469,00,7146000066897000,935923211278222,0000,8905400088412000,91966.94493455.024,8823400080992000,52.3%42.7%52.3%42.7%,0000,0.0%0.0%,0.0%0.0%
University of Hertfordshire,00,00,00,0,0,00,00,0,00,YesYes,00,00,24745342.925223921,00,00,171540.9145114,00,2115512624604427,00,164546165177,04469,20652724,1728717287,4267744540,6184847982,85405753,00,42519329.943014078,350465000311099000,280500280500,00,4750900041501000,00,00,0,00,1936400014959000,2809528095,00,280950,027955,00,00,00,00,3833179.97239884,00,283592000254639000,46352509.850253962,0000,364064000332330000,192641193272,383998000339471000,0.0%0.0%0.0%0.0%,280500280500280500280500,0.0%0.0%,0.0%0.0%
University of London (Institutes and activities),00,00,00,0,0,00,00,0,343474376878,0,00,00,1121814711164960,27081722833572,00,00,00,51994257144770,00,7860078600,0,0,0,0,0,0,0,1068562810180668,149759000141342000,6805686584,00,5165800043924000,00,00,0,00,20040001769000,129419135844,0,0,0,0,0,0,0,885164611426095,00,9609700095649000,1953727421606764,0,184524000207952000,208019214444,196019000182657000,0,0,0,0
University of Northumbria at Newcastle,00,00,00,0,0,00,00,0,349954575522,YesYes,00,00,1961571220025433,563427921048,00,00,00,2125306623693982,11325391852391,167739166834,0,0,0,0,0,0,0,3561718739090198,368462000317244000,286646286220,00,3016600019287000,00,00,0,00,3707800027994000,7643676315,0,0,0,0,0,0,0,93339419294330,28823232882323,301218000269963000,4495112848384528,91338114965709133811496570,369395000329055000,244175243149,382103000329456000,47.0%44.0%47.0%44.0%,286646286220286646286220,100.0%100.0%,0.0%
University of Nottingham,716831275960,1614781059,00,0,0,00,00,0,12279331561621,YesYes,00,278908283372,7070194670104945,15705001514579,00,00,00,8446037382979398,352078011525122,585798.79560419.64,01054,3754541802,7515080343,176252216098,9346761428,5004750493,4403748939,153476439149857299.25,771340000754830000,382986406669,00,8767700081218000,113276223043,00,0,00,191499000186115000,131802.34129420.339,56165616,1352112178,6645869356,342472734,42494652,00,00,2556936226445405.75,2022204917872059,492164000487497000,179045801176302705,2581823282502125818232825021,776278000925347000,717601.13689839.979,822840000801866000,0.0%0.0%0.0%0.0%,58409219867315840921986731,0.0%100.0%,0.0%0.0%
University of Plymouth,11102430,00,00,0,0,00,00,0,15689811106382,YesYes,2274117336,00,1229869112303287,20788161438106,00,00,00,90377699696901,49830183884760,185845.8187076,14931708.6,40965.2823929.79,44864.1248552.84,50430.1334916.7,013225.39,2320.490,10124.312444.79,2621302724653718,261623000244122000,6013755396,00,4542000040833000,3564936310,00,0,00,3176100031100000,00,00,00,00,00,00,00,00,00,00,184442000172189000,2621302724653718,3647797254448836477972544488,251893000247345000,185845.8187076,265324000247093000,42.4%47.5%42.4%47.5%,95786917059578691705,0.0%0.0%,0.0%0.0%
University of South Wales,017007.38,1003200289027,00,0,0,00,00,0,00,YesYes,038594,00,13257670.8113447869.84,00,00,00,00,14159610.116033329.41,00,151903.24156554.76,1080.1828839,44558.0792251,27698.4622773,29674.36762,00,4005.780,00,23539385.9124159134,225487000212417000,431903107039,00,2402000016880000,00,00,0,00,1212800012473000,28683.8127517.78,0577,13204.1220553.28,9601.95547,3655.4840,00,00,00,53129985773733,00,189339000183064000,28852383.9129932866.63,0000,227265000216056000,180587.05184072.54,233031000218934000,48.0%46.0%48.0%46.0%,143510346549143510346549,0.0%0.0%,0.0%0.0%
University of St Mark and St John,00,00,00,0,0,00,00,0,00,NoNo,00,00,21944582187984,00,00,00,00,30345483747041,00,2463824638,00,00,6260.746260.74,17669.7317669.73,00,00,00,31708853436625,2663500029406000,170520186520,00,42570007090000,00,00,0,00,301000110000,1035010350,00,38423842,65086508,00,00,00,00,22286422684920,00,2207700022206000,53995266121545,0000,3203700033119000,3498834988,2958000032071000,100.0%100.0%100.0%100.0%,327890337510327890337510,0.0%0.0%,0.0%0.0%
University of Suffolk,00,00,00,0,0,00,00,0,00,NoNo,00,00,30112742780604.94,00,00,00,00,7630341109154.74,00,31496.831496.8,1129311293,1068010680,37273727,36493649,00,00,00,38243993931052.68,144392000135221000,5009141293,00,155960006317000,00,00,0,00,18180001183000,00,00,00,00,00,00,00,00,00,00,126978000127721000,38243993931052.68,0000,128496000131920000,31496.831496.8,144399000135223000,71.2%22.5%71.2%22.5%,50091412935009141293,0.0%0.0%,0.0%0.0%
University of Wales Trinity Saint David,00,00,00,0,0,00,00,0,041.2,YesYes,00,00,6829068.456159300.33,051.5,00,00,00,1164264112932316.43,045.45,119955.61115974.885,1082620405.3,1658919131.5,3287943117.96,2067315389.93,2124461,54535677.1,05788.8,15188056.0115526420.22,178069000177279000,9026592313,00,2241300021055000,00,00,0,00,64990001183000,26806.627484.1,9011801.5,7217953.1,1034721452.5,40171203.3,25540,00,00,3373918.443657602.24,00,149157000155041000,18561974.4519184022.46,01030103,194045000197185000,146762.21143458.985,183116000180870000,0.0%100.0%0.0%100.0%,90265923139026592313,100.0%100.0%,0.0%0.0%
University of Worcester,00,00,00,0,0,76831670,09930250,0,00,YesYes,00,00,44235404630723,00,00,1849353836,00,00,00,63040.8563333.71,4035.060,19652.389934.78,32510.5331083.6,2156.312106.02,10261900.81,00,00,895953710550147,8791500084656000,375276140612,00,73790003410000,4965322765,00,0,00,24140001765000,24364.2724364.27,1307.041789.27,4168.4615728.93,16517.34931.64,1619.921161.88,00,00,00,35905924228039,00,7812200079481000,1255012914778186,07350735,9930100096399000,87405.1287697.98,9609300092183000,100.0%100.0%100.0%100.0%,424929163377424929163377,8.5%3.0%,0.0%0.0%
"University of the Arts, London",00,00,00,0,0,00,00,0,55249.9173435.953,YesYes,00,10244281166397,13892984.3913397532.09,118888.262158021.483,00,00,00,14840317.80913472781.736,183554.519243973.264,171655.774169426.25,00,14797.56514026.565,83716.36593492.425,23074.1612403.44,44777.3144777.31,00,00,25535444.8425298029.176,394094000359956000,56600.56929192.814,00,2317700012335000,00,00,0,00,85340007184000,25409.3115187.31,00,102220,7723.87723.8,7463.514908.51,02555,00,00,4453024.12999331.9,00,362383000340437000,29988468.9428297361.076,174138.172231457.436174138.172231457.436,409597000367402000,197065.084184613.56,425378000384907000,36.2%100.0%36.2%100.0%,2360480.5692333072.8142360480.5692333072.814,0.0%0.0%,0.0%0.0%
"University of the West of England, Bristol",00,00,00,0,0,00,00,0,35631753723127,YesYes,00,00,2656333126577727,52451605512720,00,00,00,2367697823410952,1102090611623268,228331.53227721.26,0215,35600,70653,39190,23587,41045,1741,5020935549502910.52,358099000355455000,444312458329.27,00,3487000033543000,00,00,0,00,2346500023899000,80501.0980583.01,2070,45867,1466,1955,00,00,00,928360210179944.85,00,299764000298013000,5949295659682855.27,8808335923584788083359235847,378856000368793000,308832.62308304.27,383410000377595000,24.7%43.0%24.7%43.0%,444312458329.27444312458329.27,100.0%100.0%,0.0%0.0%
Wrexham University,00,00,00,0,0,00,00,0,00,0,00,00,42301194036452,00,00,00,00,66145206371401,00,4980249802,20600,2625610345,1113428141,7731783,00,75207520,00,9627219.79234208,4836500045227000,86998.70,00,49690003747000,00,00,0,00,18020002850000,87918791,00,87918791,00,00,00,00,00,13044181173645,00,4159400038630000,10931637.710407853,0000,5311800048969000,5859358593,5089900047206000,38.6%38.8%38.6%38.8%,86998.78368386998.783683,0.0%0.0%,0.0%0.0%
York St John University,00,00,00,0,0,00,00,0,00,0,00,00,48988284947870,00,00,00,00,30414193225354,00,50058.26147769.131,00,22288.5811121.47,18737.522013.4,04555.45,00,00,00,61519456001449.79,8143200071929000,370322308.79,00,25130003099000,00,00,0,00,22110001076000,23288.81423288.814,00,00,00,00,00,00,00,21586342172083,00,7670800067754000,83105698173532.79,0000,9194400079822000,73347.07571057.945,8855200077953000,0,0,0,0
